Rank,University,Location,Country,Overall Score
52,Carnegie Mellon University,Pittsburgh, United States,73.7
57,Duke University,Durham, United States,72
58,University of Texas at Austin,Austin, United States,71.8
62,University of California San Diego (UCSD),San Diego, United States,70
63,University of Washington,Seattle, United States,69.2
64,University of Illinois at Urbana-Champaign,Champaign, United States,69.1
73,Brown University,Providence, United States,66.4
83,Pennsylvania State University,University Park, United States,63.1
93,Boston University,Boston, United States,61.4
97,Georgia Institute of Technology,Atlanta, United States,60.9
99,Purdue University,West Lafayette, United States,60.7
