TITLE,CITED BY,YEAR
Domain adaptation in small-scale and heterogeneous biological datasets,3,2024
"S Orouji, MC Liu, T Korem, MAK Peters",,
"Science Advances 10 (51), eadp6040",,
Persistent Short Sleep Duration From Pregnancy to 2 to 7 Years After Delivery and Metabolic Health,,2024
"M Kim, LE Wiener, J Gilbert, RB McNeil, KJ Reid, WA Grobman, F Facco, ...",,
"JAMA network open 7 (12), e2452204-e2452204",,
Microsynteny is a powerful front for microbial strain tracking,,2024
"P Cai, T Korem",,
Cell Reports Methods 4 (9),,
Planning and Analyzing a Low-Biomass Microbiome Study: A Data Analysis Perspective,1,2024
"GI Austin, T Korem",,
"The Journal of Infectious Diseases, jiae378",,
Distributional bias compromises leave-one-out cross-validation,1,2024
"GI Austin, I Pe’er, T Korem",,
"ArXiv, arXiv: 2406.01652 v1",,
Mo1907 BACTERIAL DENSITY IS INCREASED IN THE STROMA OF BARRETT'S ESOPHAGUS-ASSOCIATED NEOPLASIA,,2024
"L Houle, Y Sun, T Swayne, DE Freedberg, T Korem, AIP Vasco, M Quante, ...",,
"Gastroenterology 166 (5), S-1168",,
Su1265 THE SALIVARY MICROBIOME AS A NONINVASIVE SCREENING TOOL FOR BARRETT'S ESOPHAGUS,,2024
"JM Luevano, JH Rubenstein, RC Fitzgerald, AC Uhlemann, H Park, ...",,
"Gastroenterology 166 (5), S-715-S-716",,
Metagenomic coverage bias at transcription start sites is correlated with gene expression,,2024
"G Qian, I Coleman, T Korem, JWK Ho",,
"bioRxiv, 2024.05. 09.593333",,
Robustness of cancer microbiome signals over a broad range of methodological variation,20,2024
"GD Sepich-Poore, D McDonald, E Kopylova, C Guccione, Q Zhu, G Austin, ...",,
"Oncogene 43 (15), 1127-1148",,
"Single analyte profiling of the mutational, immune and microbiome landscape in african american colon cancer patients",,2024
"C Gurjao, E Chan, MJ Lee, S Hangai, R Rabadan, T Korem, H Hibshoosh, ...",,
"Cancer Research 84 (6_Supplement), 994-994",,
The Salivary Microbiome and Predicted Metabolite Production Are Associated with Barrett's Esophagus and High-Grade Dysplasia or Adenocarcinoma,6,2024
"QS Solfisburg, F Baldini, B Baldwin-Hunter, GI Austin, HH Lee, H Park, ...",,
"Cancer Epidemiology, Biomarkers & Prevention 33 (3), 371-380",,
Compositional transformations can reasonably introduce phenotype-associated values into sparse features,1,2024
"GI Austin, T Korem",,
"bioRxiv, 2024.02. 19.581060",,
Processing-bias correction with DEBIAS-M improves cross-study generalization of microbiome-based prediction models,3,2024
"GI Austin, A Brown Kav, H Park, J Biermann, AC Uhlemann, T Korem",,
"bioRxiv, 2024.02.09.579716",,
Microbiome preterm birth DREAM challenge: Crowdsourcing machine learning approaches to advance preterm birth research,25,2024
"JL Golob, TT Oskotsky, AS Tang, A Roldan, V Chung, CWY Ha, RJ Wong, ...",,
Cell Reports Medicine 5 (1),,
Early prediction of preeclampsia using the first trimester vaginal microbiome,,2024
"WF Kindschuh, GI Austin, Y Meydan, H Park, JA Urban, E Watters, ...",,
"bioRxiv, 2024.12. 01.626267",,
Contamination source modeling with SCRuB improves cancer phenotype prediction from microbiome data,32,2023
"GI Austin, H Park, Y Meydan, D Seeram, T Sezin, YC Lou, BA Firek, ...",,
"Nature biotechnology 41 (12), 1820-1828",,
Microdiversity of the vaginal microbiome is associated with preterm birth,35,2023
"J Liao, L Shenhav, JA Urban, M Serrano, B Zhu, GA Buck, T Korem",,
"Nature communications 14, 4997",,
pymgpipe: microbiome metabolic modeling in Python,,2023
"Y Meydan, F Baldini, T Korem",,
"Journal of open source software 8 (88), 5545",,
Su1240 LACTATE SUPRESSES GROWTH OF BARRETT'S ESOPHAGUS AND ESOPHAGEAL ADENOCARCNIOMA PATIENT DERIVED ORGANOIDS,,2023
"SH Su, JT Gabre, UM Sachdeva, S Flashner, QS Solfisburg, F Baldini, ...",,
"Gastroenterology 164 (6), S-562",,
Preterm birth is associated with xenobiotics and predicted by the vaginal metabolome,44,2023
"WF Kindschuh, F Baldini, MC Liu, J Liao, Y Meydan, HH Lee, A Heinken, ...",,
"Nature Microbiology 8, 246-259",,
Predicting blood metabolites,5,2022
"E Segal, BAR Noam, T Korem",,
"US Patent App. 17/427,223",,
The gut microbiome of adults with type 1 diabetes and its association with the host glycemic control,40,2022
"S Shilo, A Godneva, M Rachmiel, T Korem, Y Bussi, D Kolobkov, T Karady, ...",,
