TITLE,CITED BY,YEAR
To do no harm—and the most good—with AI in health care,1,2024
"CB Goldberg, L Adams, D Blumenthal, PF Brennan, N Brown, AJ Butte, ...",,
"NEJM AI 1 (3), AIp2400036",,
What We Want to Publish at NEJM AI,,2024
"AK Manrai, AL Beam, IS Kohane",,
"NEJM AI 1 (2), AIe2300304",,
Socioeconomic and environmental risk assessment of chronic obstructive pulmonary disease across smoking behaviors and populations,,2024
"Y He, D Qian, J Diao, M Cho, E Silverman, A Gusev, A Manrai, A Martin, ...",,
"EUROPEAN JOURNAL OF HUMAN GENETICS 32, 388-389",,
Assessing the genetic contribution of cumulative behavioral factors associated with longitudinal type 2 diabetes risk highlights adiposity and the brain-metabolic axis,,2024
"N Carvalho, Y He, P Smadbeck, J Flannick, J Mercader, M Udler, ...",,
"medRxiv, 2024.01. 30.24302019",,
Decoding the exposome: data science methodologies and implications in exposome-wide association studies (ExWASs),,2024
"MK Chung, JS House, FS Akhtari, KC Makris, MA Langston, KT Islam, ...",,
"Exposome 4 (1), osae001",,
Prediction and stratification of longitudinal risk for chronic obstructive pulmonary disease across smoking behaviors,3,2023
"Y He, DC Qian, JA Diao, MH Cho, EK Silverman, A Gusev, AK Manrai, ...",,
"Nature communications 14 (1), 8297",,
Why We Support and Encourage the Use of Large Language Models in NEJM AI Submissions,4,2023
"D Koller, A Beam, A Manrai, E Ashley, X Liu, J Gichoya, C Holmes, J Zou, ...",,
"NEJM AI 1 (1), AIe2300128",,
Artificial Intelligence vs Clinician Performance in Estimating Probabilities of Diagnoses Before and After Testing,1,2023
"A Rodman, TA Buckley, AK Manrai, DJ Morgan",,
"JAMA Network Open 6 (12), e2347075-e2347075",,
Accuracy of a vision-language model on challenging medical cases,5,2023
"T Buckley, JA Diao, A Rodman, AK Manrai",,
arXiv preprint arXiv:2311.05591,,
Augmenting medical image classifiers with synthetic data from latent diffusion models,3,2023
"LW Sagers, JA Diao, L Melas-Kyriazi, M Groh, P Rajpurkar, AS Adamson, ...",,
arXiv preprint arXiv:2308.12453,,
Scientific discovery in the age of artificial intelligence,218,2023
"H Wang, T Fu, Y Du, W Gao, K Huang, Z Liu, P Chandak, S Liu, ...",,
"Nature 620 (7972), 47-60",,
Artificial intelligence in medicine,78,2023
"AL Beam, JM Drazen, IS Kohane, TY Leong, AK Manrai, EJ Rubin",,
"New England Journal of Medicine 388 (13), 1220-1221",,
National projections for clinical implications of race-free creatinine-based GFR estimating equations,13,2023
"JA Diao, GJ Wu, JK Wang, IS Kohane, HA Taylor, H Tighiouart, AS Levey, ...",,
"Journal of the American Society of Nephrology 34 (2), 309-321",,
Improving dermatology classifiers across populations using images generated by large diffusion models,14,2022
"LW Sagers, JA Diao, M Groh, P Rajpurkar, A Adamson, AK Manrai",,
NeurIPS 2022 Workshop on Synthetic Data for Empowering ML Research,,
Foundational considerations for artificial intelligence using ophthalmic images,47,2022
"MD Abràmoff, B Cunningham, B Patel, MB Eydelman, T Leng, ...",,
"Ophthalmology 129 (2), e14-e32",,
Positive predictive value of the thumb-palm test for general population screening of ascending aortic aneurysm,2,2021
"JA Diao, GJ Wu, AK Manrai",,
"The American Journal of Cardiology 161, 116",,
Leveraging vibration of effects analysis for robust discovery in observational biomedical data science,15,2021
"BT Tierney, E Anderson, Y Tan, K Claypool, S Tangirala, AD Kostic, ...",,
"PLoS biology 19 (9), e3001398",,
Data Mining Approaches to Reference Interval Studies,16,2021
"AE Obstfeld, K Patel, JC Boyd, J Drees, DT Holmes, JPA Ioannidis, ...",,
"Clinical Chemistry 67 (9), 1175-1181",,
Race-free equations for eGFR: comparing effects on CKD classification,11,2021
"JA Diao, NR Powe, AK Manrai",,
"Journal of the American Society of Nephrology 32 (8), 1868-1870",,
Empowering clinical research in a decentralized world,40,2021
"W De Brouwer, CJ Patel, AK Manrai, IR Rodriguez-Chavez, NR Shah",,
"NPJ Digital Medicine 4 (1), 102",,
