TITLE,CITED BY,YEAR
Grilling the data: Application of specification curve analysis to red meat and all-cause mortality,,2024
"Y Wang, T Pitre, JD Wallach, RJ de Souza, T Jassal, D Bier, CJ Patel, ...",,
"Journal of Clinical Epidemiology, 111278",,
Morning exercise as fasted-state activity. Reply to Chacko E,,2024
"C Tian, CJ Patel",,
"Diabetologia, 1-1",,
Improving the transparency and reliability of observational studies through registration,2,2024
"F Naudet, CJ Patel, NJ DeVito, G Le Goff, IA Cristea, A Braillon, ...",,
bmj 384,,
Pediatric and Young Adult Household Transmission of the Initial Waves of SARS-CoV-2 in the United States: Administrative Claims Study,,2024
"MK Chung, B Hart, M Santillana, CJ Patel",,
"Journal of Medical Internet Research 26, e44249",,
"Heterogeneity in elevated glucose and A1C as predictors of the prediabetes to diabetes transition: Framingham Heart Study, Multi-Ethnic Study on Atherosclerosis, Jackson Heart …",,2024
"CJ Patel, JPA Ioannidis, EW Gregg, RS Vasan, AK Manrai",,
"medRxiv, 2024.03. 16.24304398",,
Socioeconomic and environmental risk assessment of chronic obstructive pulmonary disease across smoking behaviors and populations,,2024
"Y He, D Qian, J Diao, M Cho, E Silverman, A Gusev, A Manrai, A Martin, ...",,
"EUROPEAN JOURNAL OF HUMAN GENETICS 32, 388-389",,
Assessing the genetic contribution of cumulative behavioral factors associated with longitudinal type 2 diabetes risk highlights adiposity and the brain-metabolic axis,,2024
"N Carvalho, Y He, P Smadbeck, J Flannick, J Mercader, M Udler, ...",,
"medRxiv, 2024.01. 30.24302019",,
Decoding the exposome: data science methodologies and implications in exposome-wide association studies (ExWASs),,2024
"MK Chung, JS House, FS Akhtari, KC Makris, MA Langston, KT Islam, ...",,
"Exposome 4 (1), osae001",,
Prediction and stratification of longitudinal risk for chronic obstructive pulmonary disease across smoking behaviors,4,2023
"Y He, DC Qian, JA Diao, MH Cho, EK Silverman, A Gusev, AK Manrai, ...",,
"Nature communications 14 (1), 8297",,
DNA characterization reveals potential operon-unit packaging of extracellular vesicle cargo from a gut bacterial symbiont,,2023
"B Cho, G Moore, LD Pham, CJ Patel, AD Kostic",,
Research Square,,
Association between timing and consistency of physical activity and type 2 diabetes: a cohort study on participants of the UK Biobank,4,2023
"C Tian, C Bürki, KE Westerman, CJ Patel",,
"Diabetologia 66 (12), 2275-2282",,
Heterogeneity in Modifiable and Non?Modifiable Risk Factors among Different Dementia Types in UK Biobank,,2023
"R Luo, CJ Patel",,
"Alzheimer's & Dementia 19, e079387",,
Spatio-temporal interpolation and delineation of extreme heat events in California between 2017 and 2021,,2023
"P Fard, MKJ Chung, H Estiri, CJ Patel",,
"Environmental Research 237, 116984",,
"4.50 School Protective Factors, Religiosity, Screentime, and Neighborhood Conditions Predict Alcohol Initiation in Preadolescents, an eXposome Wide Association Study (XWAS) in …",,2023
"F Adams, Y He, I Ivanov, CJ Patel, MA Parvaz",,
"Journal of the American Academy of Child & Adolescent Psychiatry 62 (10), S249",,
An Exposure-Wide Association Study (ExWAS) on Erectile Dysfunction,,2023
"Y Mizuno, CJ Patel",,
ISEE Conference Abstracts 2023 (1),,
"Can the transparency, reliability and accountability of observational studies be improved through registration?",,2023
"C Patel, G Le Goff, FR Bretagne, IA Cristea, S Hoffmann",,
Published registry-based pharmacoepidemiologic associations show limited concordance with agnostic medication-wide analyses,,2023
"C Axfors, CJ Patel, JPA Ioannidis",,
"Journal of Clinical Epidemiology 160, 33-45",,
Use of real-world data in population science to improve the prevention and Care of Diabetes-Related Outcomes,4,2023
"EW Gregg, E Patorno, AJ Karter, R Mehta, ES Huang, M White, CJ Patel, ...",,
"Diabetes Care 46 (7), 1316-1326",,
Corrigendum to “Systematic comparisons between Lyme disease and post-treatment Lyme disease syndrome in the US with administrative claims data”,,2023
"MK Chung, M Caboni, P Strandwitz, A D'Onofrio, K Lewis, CJ Patel",,
EBioMedicine 93,,
Waist circumference and insulin resistance are the most predictive metabolic factors for steatosis and fibrosis,5,2023
"K Claypool, MT Long, CJ Patel",,
"Clinical Gastroenterology and Hepatology 21 (7), 1950-1954. e1",,
"196-LB: Heterogeneity in Elevated Glucose and A1C as Predictors of the Prediabetes-to-Diabetes Transition—Framingham Heart Study, Multiethnic Study on Atherosclerosis, Jackson …",,2023
C PATEL,,
Diabetes 72 (Supplement_1),,
Temporal characterization of Alzheimer's Disease with sequences of clinical records,1,2023
"H Estiri, A Azhir, DL Blacker, CS Ritchie, CJ Patel, SN Murphy",,
Ebiomedicine 92,,
"Can the reliability, accountability and transparency of observational studies be improved through pre-registration?",,2023
"C Patel, G Le Goff, FR Bretagne, IA Cristea, S Hoffmann",,
"Comparing the vibration of effects due to model, data pre-processing and sampling uncertainty on a large data set in personality psychology",9,2023
"S Klau, CJ Patel, JPA Ioannidis, AL Boulesteix, S Hoffmann",,
Meta-Psychology 7,,
A new method for estimating the probability of causal relationships from observational data: Application to the study of the short-term effects of air pollution on …,,2023
"B Andrews, C Wongchokprasitti, S Visweswaran, CM Lakhani, CJ Patel, ...",,
"Artificial Intelligence in Medicine 139, 102546",,
Quantifying shared and unique gene content across 17 microbial ecosystems,2,2023
"S Zimmerman, BT Tierney, CJ Patel, AD Kostic",,
"Msystems 8 (2), e00118-23",,
Systematic comparisons between Lyme disease and post-treatment Lyme disease syndrome in the US with administrative claims data,5,2023
"MK Chung, M Caboni, P Strandwitz, A D'Onofrio, K Lewis, CJ Patel",,
EBioMedicine 90,,
Software Application Profile: PXStools—an R package of tools for conducting exposure-wide analysis and deriving polyexposure risk scores,4,2023
"Y He, CJ Patel",,
"International Journal of Epidemiology 52 (2), 633-640",,
