TITLE,CITED BY,YEAR
Mobilizing data during a crisis: Building rapid evidence pipelines using multi-institutional real world data,,2024
"JS Marwaha, M Downing, J Halamka, A Abernethy, JB Franklin, ...",,
"Healthcare 12 (2), 100738",,
An Institutional Curriculum for Opioid Prescribing Education: Outcomes From 2017 to 2022,,2024
"BR Beaulieu-Jones, MT Berrigan, KA Robinson, JS Marwaha, TS Kent, ...",,
"Journal of Surgical Research 295, 1-8",,
Analyzing surgical technique in diverse open surgical videos with multitask machine learning,2,2024
"ED Goodman, KK Patel, Y Zhang, W Locke, CJ Kennedy, R Mehrotra, ...",,
"JAMA surgery 159 (2), 185-192",,
Evaluating capabilities of large language models: Performance of GPT-4 on surgical knowledge assessments,7,2024
"BR Beaulieu-Jones, MT Berrigan, S Shah, JS Marwaha, SL Lai, GA Brat",,
Surgery,,
Integrating Human Intuition Into Prediction Algorithms for Improved Surgical Risk Stratification,,2024
"MT Berrigan, BR Beaulieu-Jones, J Marwaha, A Fladger, MR Katlic, ...",,
"Annals of Surgery 279 (1), 15-16",,
Comparing rationale for opioid prescribing decisions after surgery with subsequent patient consumption: a survey of the highest quartile of prescribers,2,2023
"BR Beaulieu-Jones, JS Marwaha, CJ Kennedy, D Le, MT Berrigan, ...",,
"Journal of the American College of Surgeons 237 (6), 835-843",,
Retention of Knowledge After Opioid Education in Surgical Interns,,2023
"KR Arndt, KA Robinson, B Yorkgitis, G Brat",,
"The American Surgeon™ 89 (12), 5619-5625",,
Protecting surgical teams during the COVID-19 outbreak: a narrative review and clinical considerations,136,2023
"GA Brat, S Hersey, K Chhabra, A Gupta, J Scott",,
"Annals of surgery 278 (5), e957-e959",,
How surgeons use risk calculators and non-clinical factors for informed consent and shared decision making: A qualitative study,,2023
"J Panton, BR Beaulieu-Jones, JS Marwaha, AP Woods, D Nakikj, ...",,
"The American Journal of Surgery 226 (5), 660-667",,
Clinical phenotypes and outcomes in children with multisystem inflammatory syndrome across SARS-CoV-2 variant eras: a multinational study from the 4CE consortium,6,2023
"F Sperotto, A Gutiérrez-Sacristán, S Makwana, X Li, VN Rofeberg, T Cai, ...",,
EClinicalMedicine 64,,
Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study,1,2023
"A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, ...",,
Eclinicalmedicine 64,,
In Silico Performance vs Real-World Utility of Surgical Prediction Models: What Does it Take to Change a Surgeon’s Mind?,,2023
"JE Wang, CJ Kennedy, GA Brat, JS Marwaha",,
"Journal of the American College of Surgeons 237 (3), 583-584",,
Artificial Intelligence–enabled Decision Support in Surgery: State-of-the-art and Future Directions,9,2023
"TJ Loftus, MS Altieri, JA Balch, KL Abbott, J Choi, JS Marwaha, ...",,
"Annals of Surgery 278 (1), 51-58",,
Clinical Relevance Score for Guided Trauma Injury Pattern Discovery with Weakly Supervised -VAE,,2023
"Q Jin, JHF Oosterhoff, Y Huang, M Ghassemi, GA Brat",,
"Conference on Health, Inference, and Learning, 314-339",,
Quantifying the prognostic value of preoperative surgeon intuition: comparing surgeon intuition and clinical risk prediction as derived from the American College of Surgeons …,2,2023
"JS Marwaha, BR Beaulieu-Jones, M Berrigan, W Yuan, SR Odom, ...",,
"Journal of the American College of Surgeons 236 (6), 1093-1103",,
A Proposed Synthesis for Surgeon Intuition and Machine Learning: A Prospective Study Quantifying The Prognostic Value of Surgeon Intuition,,2023
"J Marwaha, BR Beaulieu-Jones, HWC Chen, CJ Kennedy, W Yuan, ...",,
"Journal of the American College of Surgeons 236 (5), S37",,
Potential pitfalls in the use of real-world data for studying long COVID,11,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
"Nature medicine 29 (5), 1040-1043",,
Trends in Medical Management of Moderately to Severely Active Ulcerative Colitis: A Nationwide Retrospective Analysis,2,2023
"W Yuan, JS Marwaha, ST Rakowsky, NP Palmer, IS Kohane, DT Rubin, ...",,
"Inflammatory Bowel Diseases 29 (5), 695-704",,
Predictive analytics and artificial intelligence in surgery—opportunities and risks,5,2023
"K Colborn, G Brat, R Callcut",,
"JAMA surgery 158 (4), 337-338",,
Informative missingness: What can we learn from patterns in missing laboratory data in the electronic health record?,6,2023
"ALM Tan, EJ Getzen, MR Hutch, ZH Strasser, A Gutiérrez-Sacristán, TT Le, ...",,
"Journal of biomedical informatics 139, 104306",,
Characterizing the use of the ICD-10 code for long COVID in 3 US healthcare systems,2,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
"medRxiv, 2023.02. 12.23285701",,
Appraising the quality of development and reporting in surgical prediction models,11,2023
"JS Marwaha, HW Chen, K Habashy, J Choi, DA Spain, GA Brat",,
"JAMA surgery 158 (2), 214-216",,
Postoperative Opioid Prescribing via Rule-Based Guidelines Derived from In-Hospital Consumption: An Assessment of Efficacy Based on Post-Discharge Opioid Use,,2023
"BR Beaulieu-Jones, MT Berrigan, JS Marwaha, KA Robinson, ...",,
"Journal of the American College of Surgeons, 10.1097",,
Reducing postoperative opioid pill prescribing via a quality improvement approach,,2023
"K Stensland, P Chang, D Jiang, D Canes, A Berkenwald, A Waisman, ...",,
"INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE 35 (1), J10-J10",,
Acute respiratory distress syndrome after SARS-CoV-2 infection on young adult population: International observational federated study based on electronic health records through …,4,2023
"B Moal, A Orieux, T Ferté, A Neuraz, GA Brat, P Avillach, CL Bonzel, T Cai, ...",,
"Plos one 18 (1), e0266985",,
Leveraging informative missing data to learn about acute respiratory distress syndrome and mortality in long-term hospitalized COVID-19 patients throughout the years of the …,,2023
"E Getzen, ALM Tan, G Brat, GS Omenn, Z Strasser, Q Long, JH Holmes, ...",,
"AMIA Annual Symposium Proceedings 2023, 942",,
Characterization of Long COVID Definitions and Clinical Coding Practices (preprint),,2023
"M Maripuri, AT Dey, JP Honerlaw, C Hong, YL Ho, V Tanukonda, ...",,
Characterization of Long COVID Definitions and Clinical Coding Practices,1,2023
"M Maripuri, AT Dey, JP Honerlaw, C Hong, YL Ho, V Tanukonda, ...",,
"medRxiv, 2023.10. 04.23296301",,
Characterizing the use of the ICD-10 Code for Long COVID in 3 US Healthcare Systems (preprint),,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
Long-term kidney function recovery and mortality after COVID-19-associated acute kidney injury: an international multi-centre observational cohort study,36,2023
"BWL Tan, BWQ Tan, ALM Tan, ER Schriver, A Gutiérrez-Sacristán, P Das, ...",,
EClinicalMedicine 55,,
Hospitalizations associated with mental health conditions among adolescents in the US and France during the COVID-19 pandemic,9,2022
"A Gutiérrez-Sacristán, A Serret-Larmande, MR Hutch, C Sáez, BJ Aronow, ...",,
"JAMA Network Open 5 (12), e2246548-e2246548",,
"Evaluation of US state opioid prescribing restrictions using patient opioid consumption patterns from a single, urban, academic institution",1,2022
"KA Robinson, JS Marwaha, CJ Kennedy, BR Beaulieu-Jones, ...",,
"Substance Abuse 43 (1), 932-936",,
Using Computer Vision and Natural Language Processing Techniques to Curate and Characterize Open Surgical Videos on YouTube,,2022
"Y Zhang, E Goodman, CJ Kennedy, G Brat",,
"Journal of the American College of Surgeons 235 (5), S236-S237",,
Why Doesn’t Opioid Prescribing Change? Surveying Surgical Providers Resistant to a Feedback Intervention Bundle,,2022
"BR Beaulieu-Jones, J Marwaha, CJ Kennedy, K Robinson, A Fleishman, ...",,
"Journal of the American College of Surgeons 235 (5), S142-S143",,
Research priorities for the surgical care of patients taking opioids preoperatively,,2022
"JS Marwaha, BR Beaulieu-Jones, CJ Kennedy, MC Bicket, GA Brat",,
