TITLE,CITED BY,YEAR
Greenlighting Innovative Projects: How Evaluation Format Shapes the Perceived Feasibility of Novel Ideas,,2024
"J N Lane, T Cai, M Menietti, G Weber, E Guinan",,
Harvard Business School Technology & Operations Mgt. Unit Working Paper,,
The power of partnership: exploring collaboration dynamics in US transplant research,3,2024
"I Faria, A Montalvan, S Canizares, PN Martins, GM Weber, M Kazimi, ...",,
"The American Journal of Surgery 227, 24-33",,
A broadly applicable approach to enrich electronic-health-record cohorts by identifying patients with complete data: a multisite evaluation,,2023
"JG Klann, DW Henderson, M Morris, H Estiri, GM Weber, S Visweswaran, ...",,
"Journal of the American Medical Informatics Association 30 (12), 1985-1994",,
Interdisciplinary Problem Solving in Hybrid Organizations: The Implications of Scientific Reputation and Disciplinary Knowledge Diversity,,2023
"T Caner, BB Tyler, MM Appleyard, GM Weber",,
IEEE Transactions on Engineering Management,,
Functional Tissue Units in the Human Reference Atlas,,2023
"S Bidanta, K Börner, BW Herr, M Nagy, KS Gustilo, R Bajema, L Maier, ...",,
bioRxiv,,
Clinical phenotypes and outcomes in children with multisystem inflammatory syndrome across SARS-CoV-2 variant eras: a multinational study from the 4CE consortium,6,2023
"F Sperotto, A Gutiérrez-Sacristán, S Makwana, X Li, VN Rofeberg, T Cai, ...",,
EClinicalMedicine 64,,
Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study,1,2023
"A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, ...",,
Eclinicalmedicine 64,,
"Anatomical structures, cell types, and biomarkers of the healthy human blood vasculature",4,2023
"A Boppana, S Lee, R Malhotra, M Halushka, KS Gustilo, EM Quardokus, ...",,
"Scientific Data 10 (1), 452",,
Generate Analysis-Ready Data for Real-world Evidence: Tutorial for Harnessing Electronic Health Records With Advanced Informatic Technologies,,2023
"J Hou, R Zhao, J Gronsbell, Y Lin, CL Bonzel, Q Zeng, S Zhang, ...",,
"Journal of medical Internet research 25, e45662",,
Potential pitfalls in the use of real-world data for studying long COVID,11,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
"Nature medicine 29 (5), 1040-1043",,
Antiplatelet medications and intracranial hemorrhage in patients with primary brain tumors,,2023
"S Ma, R Patell, E Miller, S Ren, J Marquez-Garcia, S Panoff, R Sharma, ...",,
"Journal of Thrombosis and Haemostasis 21 (5), 1148-1155",,
Disparity in the Evolving COVID-19 Collaboration Network,1,2023
"H Xu, R Rahman, A Jaiswal, J Fensel, A Peri, K Peri, GM Weber, Y Ding",,
"International Conference on Information, 331-339",,
Informative missingness: What can we learn from patterns in missing laboratory data in the electronic health record?,6,2023
