TITLE,CITED BY,YEAR
"Loss of the endoplasmic reticulum protein Tmem208 affects cell polarity, development, and viability",,2024
"D Dutta, O Kanca, RV Shridharan, PC Marcogliese, B Steger, M Morimoto, ...",,
"Proceedings of the National Academy of Sciences 121 (9), e2322582121",,
Policy in Progress—The Race to Frame AI in Health Care,,2024
I Kohane,,
"NEJM AI 1 (3), AIe2400044",,
To do no harm—and the most good—with ai in health care,1,2024
"CB Goldberg, L Adams, D Blumenthal, PF Brennan, N Brown, AJ Butte, ...",,
"NEJM AI 1 (3), AIp2400036",,
De novo variants in DENND5B cause a neurodevelopmental disorder,,2024
"M Scala, V Tomati, M Ferla, M Lena, JS Cohen, A Fatemi, E Brokamp, ...",,
The American Journal of Human Genetics,,
"Event Stream GPT: a data pre-processing and modeling library for generative, pre-trained transformers over continuous-time sequences of complex events",4,2024
"M McDermott, B Nestor, P Argaw, IS Kohane",,
Advances in Neural Information Processing Systems 36,,
"Biallelic CRELD1 variants cause a multisystem syndrome, including neurodevelopmental phenotypes, cardiac dysrhythmias, and frequent infections",1,2024
"L Jeffries, EK Mis, K McWalter, S Donkervoort, NN Brodsky, JM Carpier, ...",,
"Genetics in medicine 26 (2), 101023",,
What We Want to Publish at NEJM AI,,2024
"AK Manrai, AL Beam, IS Kohane",,
"NEJM AI 1 (2), AIe2300304",,
A syndromic neurodevelopmental disorder caused by rare variants in PPFIA3,,2024
"MS Paul, SL Michener, H Pan, H Chan, JM Pfliger, JA Rosenfeld, ...",,
"The American Journal of Human Genetics 111 (1), 96-118",,
Disease progression strikingly differs in research and real-world Parkinson's populations,,2024
"B Beaulieu-Jones, F Frau, S Bozzi, KJ Chandross, MJ Peterschmitt, ...",,
"medRxiv, 2024.02. 17.24302981",,
"Joint, multifaceted genomic analysis enables diagnosis of diverse, ultra-rare monogenic presentations",,2024
"SN Kobren, MA Moldovan, R Reimers, D Traviglia, X Li, D Barnum, A Veit, ...",,
"bioRxiv, 2024.02. 13.580158",,
Injecting artificial intelligence into medicine,4,2023
IS Kohane,,
"NEJM AI 1 (1), AIe2300197",,
Why We Support and Encourage the Use of Large Language Models in NEJM AI Submissions,4,2023
"D Koller, A Beam, A Manrai, E Ashley, X Liu, J Gichoya, C Holmes, J Zou, ...",,
"NEJM AI 1 (1), AIe2300128",,
The digital–physical divide for pathology research,,2023
"IS Kohane, S Churchill, ALM Tan, M Vella, CL Perry",,
"The Lancet Digital Health 5 (12), e859-e861",,
Predicting seizure recurrence after an initial seizure-like episode from routine clinical notes using large language models: a retrospective cohort study,2,2023
"BK Beaulieu-Jones, MF Villamar, P Scordis, AP Bartmann, W Ali, ...",,
"The Lancet Digital Health 5 (12), e882-e894",,
Simulation of undiagnosed patients with novel genetic conditions,2,2023
"E Alsentzer, SG Finlayson, MM Li, Undiagnosed Diseases Network, ...",,
"Nature Communications 14 (1), 6403",,
Clinical phenotypes and outcomes in children with multisystem inflammatory syndrome across SARS-CoV-2 variant eras: a multinational study from the 4CE consortium,6,2023
"F Sperotto, A Gutiérrez-Sacristán, S Makwana, X Li, VN Rofeberg, T Cai, ...",,
EClinicalMedicine 64,,
Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study,1,2023
"A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, ...",,
Eclinicalmedicine 64,,
Genomics Research with Undiagnosed Children: Ethical Challenges at the Boundaries of Research and Clinical Care,1,2023
"MC Halley, JL Young, C Tang, KT Mintz, S Lucas-Griffin, AS Maghiro, ...",,
"The Journal of Pediatrics 261, 113537",,
"Biallelic variants in ribonuclease inhibitor (RNH1), an inflammasome modulator, are associated with a distinctive subtype of acute, necrotizing encephalopathy",,2023
"V Shashi, K Schoch, R Ganetzky, PG Kranz, N Sondheimer, ML Markert, ...",,
