TITLE,CITED BY,YEAR
Pruning neural network models for gene regulatory dynamics using data and domain knowledge,,2025
"I Hossain, J Fischer, R Burkholz, J Quackenbush",,
"Advances in Neural Information Processing Systems 37, 117543-117579",,
Identifying Sex Differences in Lung Adenocarcinoma Using Multi-Omics Integrative Protein Signaling Networks,,2025
"C Chen, E Saha, J Fischer, M Ben Guebila, V Fanfani, K Shutta, M Padi, ...",,
"bioRxiv, 2025.02. 03.636354",,
Sex-biased regulation of extracellular matrix genes in chronic obstructive pulmonary disease,1,2025
"CM Lopes-Ramos, KH Shutta, MH Ryu, Y Huang, E Saha, J Ziniti, ...",,
"American Journal of Respiratory Cell and Molecular Biology 72 (1), 72-81",,
Reproducible processing of TCGA regulatory networks,,2024
"V Fanfani, KH Shutta, P Mandros, J Fischer, E Saha, S Micheletti, C Chen, ...",,
bioRxiv,,
Selective loss of Y chromosomes in lung adenocarcinoma modulates the tumor immune environment through cancer/testis antigens,1,2024
"J Fischer, KH Shutta, C Chen, V Fanfani, E Saha, P Mandros, MB Guebila, ...",,
bioRxiv,,
The Importance of Regulatory Network Structure for Complex Trait Heritability and Evolution,,2024
"K Stone, J Platig, J Quackenbush, M Fagny",,
bioRxiv,,
Spatial Cellular Networks from omics data with SpaCeNet,2,2024
"S Schrod, N Lück, R Lohmayer, S Solbrig, D Völkl, T Wipfler, KH Shutta, ...",,
"Genome Research 34 (9), 1371-1383",,
Bayesian inference of sample-specific coexpression networks,1,2024
"E Saha, V Fanfani, P Mandros, MB Guebila, J Fischer, KH Shutta, ...",,
"Genome Research 34 (9), 1397-1410",,
Higher-order correction of persistent batch effects in correlation networks,2,2024
"S Micheletti, D Schlauch, J Quackenbush, M Ben Guebila",,
"Bioinformatics 40 (9), btae531",,
Gene regulatory networks reveal sex difference in lung adenocarcinoma,11,2024
"E Saha, M Ben Guebila, V Fanfani, J Fischer, KH Shutta, P Mandros, ...",,
"Biology of sex Differences 15 (1), 62",,
Gene regulatory network structure help us understand how complex phenotypes adapt,,2024
"K Stone, J Platig, F Austerlitz, J Quackenbush, M Fagny",,
Evolution 2024,,
"Aging-associated Alterations in the Gene Regulatory Network Landscape Associate with Risk, Prognosis and Response to Therapy in Lung Adenocarcinoma",,2024
"E Saha, MB Guebila, V Fanfani, KH Shutta, DL DeMeo, J Quackenbush, ...",,
bioRxiv,,
Gene regulatory network structure help us understand how polygenic phenotypes adapt,,2024
"K Stone, J Platig, F Austerlitz, J Quackenbush, M Fagny",,
Evolution 2024-Virtual,,
node2vec2rank: Large Scale and Stable Graph Differential Analysis via Multi-Layer Node Embeddings and Ranking,1,2024
"P Mandros, I Gallagher, V Fanfani, C Chen, J Fischer, A Ismail, L Hsu, ...",,
bioRxiv,,
Biologically informed NeuralODEs for genome-wide regulatory dynamics,6,2024
"I Hossain, V Fanfani, J Fischer, J Quackenbush, R Burkholz",,
"Genome Biology 25 (1), 127",,
BONOBO: Bayesian Optimized Sample-Specific Networks Obtained by Omics Data,,2024
"E Saha, V Fanfani, P Mandros, M Ben-Guebila, J Fischer, KH Shutta, ...",,
"International Conference on Research in Computational Molecular Biology, 328-331",,
Spacenet: spatial cellular networks from omics data,4,2024
"S Schrod, N Lück, R Lohmayer, S Solbrig, T Wipfler, KH Shutta, ...",,
"International Conference on Research in Computational Molecular Biology, 344-347",,
Unveiling sex differences in lung adenocarcinoma through multi-omics integrative protein signaling networks,1,2024
"C Chen, E Saha, DL DeMeo, J Quackenbush, CM Lopes-Ramos",,
"Cancer Research 84 (6_Supplement), 3490-3490",,
Not all tickets are equal and we know it: Guiding pruning with domain-specific knowledge,1,2024
"I Hossain, J Fischer, R Burkholz, J Quackenbush",,
"arXiv e-prints, arXiv: 2403.04805",,
Complex Traits Heritability is Highly Clustered in the eQTL Bipartite Network,,2024
"K Stone, J Platig, J Quackenbush, M Fagny",,
Check for updates BONOBO: Bayesian Optimized Sample-Specific Networks Obtained by Omics Data,,2024
"E Saha¹, V Fanfani¹, P Mandros¹, M Ben-Guebila¹, J Fischer¹, KH Shutta, ...",,
Research in Computational Molecular Biology: 28th Annual International …,,
Bayesian Optimized sample-specific Networks Obtained By Omics data (BONOBO),2,2023
"E Saha, V Fanfani, P Mandros, M Ben-Guebila, J Fischer, K Hoff-Shutta, ...",,
bioRxiv,,
"Supervised Risk Predictor of Breast Cancer Based on Intrinsic Subtypes (Reprinted from vol 27, pg 1160, 2009)",2,2023
"JS Parker, M Mullins, MCU Cheang, S Leung, D Voduc, T Vickery, ...",,
"JOURNAL OF CLINICAL ONCOLOGY 41 (26), 4192-4199",,
Supervised risk predictor of breast cancer based on intrinsic subtypes,17,2023
"JS Parker, M Mullins, MCU Cheang, S Leung, D Voduc, T Vickery, ...",,
"Journal of Clinical Oncology 41 (26), 4192-4199",,
Using Gene Regulatory Networks to Understand Sex Differences in Lung Cancer Gene Regulation,,2023
"CM Lopes-Ramos, E Saha, J Quackenbush, DL Demeo",,
"D98. UPDATE ON THE"" OMICS"" OF LUNG CANCER: A TRANSLATIONAL SESSION, A6607-A6607",,
Network Medicine Approaches Reveal Sex-biased Regulation of Extracellular Matrix Pathway in COPD,,2023
"CM Lopes-Ramos, R Chase, BD Hobbs, JH Yun, Z Xu, P Castaldi, ...",,
"B107. COPD: FROM OMICS TO TREATMENT, A4407-A4407",,
Divergent Lung Tissue Methylation Signatures of COPD and Pulmonary Fibrosis,,2023
"KH Shutta, Y Huang, S Li, BD Hobbs, J Yun, AMK Choi, EK Silverman, ...",,
"D108. CELLS, SIGNALING, AND MEDIATORS IN LUNG REMODELING AND FIBROSIS, A6783 …",,
"Genome Projects: from Microbes to Man, from Sequence to Function",1,2023
"J Quackenbush, MD Adams, CM Fraser, JC Venter",,
"Genomics: commercial opportunities from a scientific revolution, 15-28",,
The Network Zoo: a multilingual package for the inference and analysis of gene regulatory networks,,2023
"G Ben, T Wang, CM Lopes-Ramos, V Fanfani, D Weighill, R Burkholz, ...",,
BioMed Central Ltd,,
The Network Zoo: a multilingual package for the inference and analysis of gene regulatory networks,25,2023
"M Ben Guebila, T Wang, CM Lopes-Ramos, V Fanfani, D Weighill, ...",,
"Genome Biology 24 (1), 45",,
DRAGON: determining regulatory associations using graphical models on multi-omic networks,15,2023
"KH Shutta, D Weighill, R Burkholz, MB Guebila, DL DeMeo, HU Zacharias, ...",,
"Nucleic Acids Research 51 (3), e15-e15",,
Counting Genes: A Human Genome Conundrum,,2022
J Quackenbush,,
"GEN Biotechnology 1 (5), 428-429",,
Proceedings of the fifth international Molecular Pathological Epidemiology (MPE) meeting,,2022
"S Yao, PT Campbell, T Ugai, G Gierach, M Abubakar, V Adalsteinsson, ...",,
"Cancer Causes & Control 33 (8), 1107-1120",,
Blood gene expression risk profiles and interstitial lung abnormalities: COPDGene and ECLIPSE cohort studies,7,2022
"M Moll, BD Hobbs, A Menon, AJ Ghosh, RK Putman, T Hino, A Hata, ...",,
"Respiratory Research 23 (1), 157",,
The network zoo: a multilingual package for the inference and analysis of biological networks,1,2022
"MB Guebila, T Wang, CM Lopes-Ramos, V Fanfani, D Weighill, ...",,
"bioRxiv, 2022.05. 30.494077",,
Connectivity in eQTL networks dictates reproducibility and genomic properties,7,2022
"SM Gaynor, M Fagny, X Lin, J Platig, J Quackenbush",,
Cell Reports Methods 2 (5),,
Gene Expression Risk Profiles and Interstitial Lung Abnormalities,,2022
"M Moll, BD Hobbs, AA Menon, AJ Ghosh, RK Putman, T Hino, A Hata, ...",,
D91. OMICS DISCOVERIES IN ALLERGIC AND NON-ALLERGIC INFLAMMATION AND LUNG …,,
"An online notebook resource for reproducible inference, analysis and publication of gene regulatory networks",13,2022
"M Ben Guebila, D Weighill, CM Lopes-Ramos, R Burkholz, RT Pop, ...",,
"Nature methods 19 (5), 511-513",,
Looking back at the first twenty years of genomics,,2022
J Quackenbush,,
"Quantitative Biology 10 (1), 6-16",,
"Discovery of widespread transcription initiation at microsatellites predictable by sequence-based deep neural network (vol 12, 3279, 2021)",,2022
"M Grapotte, M Saraswat, C Bessiere, C Menichelli, JA Ramilowski, ...",,
NATURE COMMUNICATIONS 13 (1),,
Author Correction: Discovery of widespread transcription initiation at microsatellites predictable by sequence-based deep neural network,,2022
"M Grapotte, M Saraswat, C Bessière, C Menichelli, JA Ramilowski, ...",,
"Nature communications 13 (1), 1200",,
gpuZoo: Cost-effective estimation of gene regulatory networks using the Graphics Processing Unit,6,2022
"MB Guebila, DC Morgan, K Glass, ML Kuijjer, DL DeMeo, J Quackenbush",,
"NAR Genomics and Bioinformatics 4 (1), lqac002",,
Predicting genotype-specific gene regulatory networks,18,2022
"D Weighill, MB Guebila, K Glass, J Quackenbush, J Platig",,
