TITLE,CITED BY,YEAR
High-dimensional phenotyping to define the genetic basis of cellular morphology,4,2024
"M Tegtmeyer, J Arora, S Asgari, BA Cimini, A Nadig, E Peirent, ...",,
"Nature Communications 15 (1), 347",,
Estimating the Genome-Wide Contribution of Rare Coding Variation to Schizophrenia and Bipolar Disorder,,2023
"A Nadig, D Weiner, B Neale, K Karczewski, E Robinson, L O'Connor",,
"NEUROPSYCHOPHARMACOLOGY 48, 369-370",,
"HAPNEST: efficient, large-scale generation and evaluation of synthetic datasets for genotypes and phenotypes",6,2023
"S Wharrie, Z Yang, V Raj, R Monti, R Gupta, Y Wang, A Martin, ...",,
"bioinformatics 39 (9), btad535",,
Extremely sparse models of linkage disequilibrium in ancestrally diverse association studies,12,2023
"P Salehi Nowbandegani, AW Wohns, JL Ballard, ES Lander, ...",,
"Nature Genetics 55 (9), 1494-1502",,
"Polygenic architecture of rare coding variation across 394,783 exomes",54,2023
"DJ Weiner, A Nadig, KA Jagadeesh, KK Dey, BM Neale, EB Robinson, ...",,
"Nature 614 (7948), 492-499",,
Statistical and functional convergence of common and rare genetic influences on autism at chromosome 16p,10,2022
"DJ Weiner, E Ling, S Erdin, DJC Tai, R Yadav, J Grove, JM Fu, A Nadig, ...",,
"Nature genetics 54 (11), 1630-1639",,
HAPNEST: an efficient tool for generating large-scale genetics datasets from limited training data,1,2022
"S Wharrie, Z Yang, V Raj, R Monti, R Gupta, Y Wang, A Martin, ...",,
NeurIPS 2022 Workshop on Synthetic Data for Empowering ML Research,,
"38. COMMON AND RARE GENETIC RISK FACTORS FOR SCHIZOPHRENIA AT CHROMOSOME 22Q INDUCE CONVERGENT, DISPERSED CHANGES IN GENE EXPRESSION",,2022
"A Nadig, M Tegtmeyer, DJ Weiner, E Ling, A Gordon, LJ O'Connor, ...",,
"European Neuropsychopharmacology 63, e66",,
"Polygenic architecture of rare coding variation across 400,000 exomes",2,2022
"DJ Weiner, A Nadig, KA Jagadeesh, KK Dey, BM Neale, EB Robinson, ...",,
"medRxiv, 2022.07. 06.22277335",,
Shared components of heritability across genetically correlated traits,7,2022
"JL Ballard, LJ O’Connor",,
"The American Journal of Human Genetics 109 (6), 989-1006",,
Combining SNP-to-gene linking strategies to identify disease genes and assess disease omnigenicity,71,2022
"S Gazal, O Weissbrod, F Hormozdiari, KK Dey, J Nasser, KA Jagadeesh, ...",,
"Nature genetics 54 (6), 827-836",,
Statistical and functional convergence of common and rare variant risk for autism spectrum disorders at chromosome 16p,2,2022
"DJ Weiner, E Ling, S Erdin, DJC Tai, R Yadav, J Grove, JM Fu, A Nadig, ...",,
"medRxiv, 2022.03. 23.22272826",,
Partitioning gene-mediated disease heritability without eQTLs,11,2022
"DJ Weiner, S Gazal, EB Robinson, LJ O’Connor",,
"The American Journal of Human Genetics 109 (3), 405-416",,
Contemporary clinical isolates of Staphylococcus aureus from pediatric osteomyelitis patients display unique characteristics in a mouse model of hematogenous osteomyelitis,3,2021
"PM Roper, KR Eichelberger, L Cox, L O’Connor, C Shao, CA Ford, ...",,
Infection and immunity 89 (10),,
Combining SNP-to-gene linking strategies to pinpoint disease genes and assess disease omnigenicity,4,2021
"S Gazal, O Weissbrod, F Hormozdiari, K Dey, J Nasser, K Jagadeesh, ...",,
"medRxiv, 2021.08. 02.21261488",,
The distribution of common-variant effect sizes,48,2021
LJ O’Connor,,
