TITLE,CITED BY,YEAR
Actionable predictions of human pharmacokinetics at the drug design stage,,2024
"L Komissarov, N Manevski, KG Zbinden, T Schindler, M Zitnik, ...",,
"Recent Advances, Applications, and Open Challenges in Machine Learning for Health: Reflections from Research Roundtables at ML4H 2023 Symposium",,2024
"H Jeong, S Jabbour, Y Yang, R Thapta, H Mozannar, WJ Han, ...",,
arXiv preprint arXiv:2403.01628,,
UniTS: Building a Unified Time Series Model,2,2024
"S Gao, T Koker, O Queen, T Hartvigsen, T Tsiligkaridis, M Zitnik",,
arXiv preprint arXiv:2403.00131,,
PocketGen: Generating Full-Atom Ligand-Binding Protein Pockets,,2024
"Z Zhang, W Shen, Q Liu, M Zitnik",,
bioRxiv,,
Full-atom protein pocket design via iterative refinement,6,2024
"Z Zhang, Z Lu, H Zhongkai, M Zitnik, Q Liu",,
Advances in Neural Information Processing Systems 36,,
Encoding time-series explanations through self-supervised model behavior consistency,3,2024
"O Queen, T Hartvigsen, T Koker, H He, T Tsiligkaridis, M Zitnik",,
Advances in Neural Information Processing Systems 36,,
Trustllm: Trustworthiness in large language models,35,2024
"L Sun, Y Huang, H Wang, S Wu, Q Zhang, C Gao, Y Huang, W Lyu, ...",,
arXiv preprint arXiv:2401.05561,,
Combinatorial prediction of therapeutic perturbations using causally-inspired neural networks,1,2024
"G Gonzalez, I Herath, K Veselkov, M Bronstein, M Zitnik",,
"bioRxiv, 2024.01. 03.573985",,
PocketGen: Generating Full-Atom Ligand-Binding Protein Pockets,,2024
"Z Zaixi, W Shen, Q Liu, M Zitnik",,
"bioRxiv, 2024.02. 25.581968",,
Evaluating generalizability of artificial intelligence models for molecular datasets,,2024
"Y Ektefaie, A Shen, D Bykova, M Marin, M Zitnik, MR Farhat",,
"bioRxiv, 2024.02. 25.581982",,
Anniversary AI reflections,1,2024
"N Ferruz, M Zitnik, PY Oudeyer, E Hine, N Sengupta, Y Shi, D Mincu, ...",,
"Nature Machine Intelligence 6 (1), 6-12",,
Is Ignorance Bliss? The Role of Post Hoc Explanation Faithfulness and Alignment in Model Trust,,2023
"T Han, Y Ektefaie, M Farhat, M Zitnik, H Lakkaraju",,
arXiv preprint arXiv:2312.05690,,
Let's Think Outside the Box: Exploring Leap-of-Thought in Large Language Models with Creative Humor Generation,1,2023
"S Zhong, Z Huang, S Gao, W Wen, L Lin, M Zitnik, P Zhou",,
arXiv preprint arXiv:2312.02439,,
Learning Generalized Medical Image Representations Through Image-Graph Contrastive Pretraining,,2023
"S Khanna, D Michael, M Zitnik, P Rajpurkar",,
"Machine Learning for Health (ML4H), 232-243",,
OpenXAI: Towards a Transparent Evaluation of Model Explanations,1,2023
"C Agarwal, S Krishna, E Saxena, M Pawelczyk, N Johnson, I Puri, M Zitnik, ...",,
Advances in neural information processing systems,,
Mapping the intermolecular interaction universe through self-supervised learning on molecular crystals,,2023
"A Fang, Z ZHANG, M Zitnik",,
NeurIPS 2023 AI for Science Workshop,,
Graph ai in medicine,3,2023
"R Johnson, MM Li, A Noori, O Queen, M Zitnik",,
arXiv preprint arXiv:2310.13767,,
Regularized Optimal Transport for Temporal Trajectory Analysis in Single-Cell Data,,2023
"J Peng, X Song, Y Zhang, Z He, M Zitnik, M Kellis, T Chen",,
Current and future directions in network biology,5,2023
"M Zitnik, MM Li, A Wells, K Glass, DM Gysi, A Krishnan, TM Murali, ...",,
arXiv preprint arXiv:2309.08478,,
Publisher Correction: Scientific discovery in the age of artificial intelligence,,2023
"H Wang, T Fu, Y Du, W Gao, K Huang, Z Liu, P Chandak, S Liu, ...",,
"Nature 621 (7978), E33",,
The 3rd Workshop on Graph Learning Benchmarks (GLB 2023),,2023
"J Ma, J Zhu, Y Dong, D Koutra, J He, Q Mei, A Tsitsulin, X Zhang, M Zitnik",,
Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and …,,
Scientific discovery in the age of artificial intelligence,285*,2023
"H Wang, T Fu, Y Du, W Gao, K Huang, Z Liu, P Chandak, S Liu, ...",,
"Nature 620 (7972), 47-60",,
Contextualizing protein representations using deep learning on protein networks and single-cell data,3,2023
"MM Li, Y Huang, M Sumathipala, MQ Liang, A Valdeolivas, ...",,
"bioRxiv, 2023.07. 18.549602",,
"Artificial intelligence for science in quantum, atomistic, and continuum systems",42,2023
"X Zhang, L Wang, J Helwig, Y Luo, C Fu, Y Xie, M Liu, Y Lin, Z Xu, K Yan, ...",,
arXiv preprint arXiv:2307.08423,,
Domain adaptation for time series under feature and label shifts,18,2023
"H He, O Queen, T Koker, C Cuevas, T Tsiligkaridis, M Zitnik",,
"International Conference on Machine Learning, 12746-12774",,
Multimodal learning on graphs for disease relation extraction,14,2023
"Y Lin, K Lu, S Yu, T Cai, M Zitnik",,
"Journal of Biomedical Informatics 143, 104415",,
A Systematic Survey in Geometric Deep Learning for Structure-based Drug Design,7,2023
"Z Zhang, J Yan, Q Liu, E Che, M Zitnik",,
arXiv preprint arXiv:2306.11768,,
Structure-inducing pre-training,8,2023
"MBA McDermott, B Yap, P Szolovits, M Zitnik",,
"Nature Machine Intelligence 5 (6), 612-621",,
Metapaths: similarity search in heterogeneous knowledge graphs via meta-paths,,2023
"A Noori, MM Li, ALM Tan, M Zitnik",,
"Bioinformatics 39 (5), btad297",,
Integrating domain knowledge and deep learning for enhanced chest X-ray diagnosis and localization,,2023
Y Han,,
Multimodal learning with graphs,36,2023
"Y Ektefaie, G Dasoulas, A Noori, M Farhat, M Zitnik",,
"Nature Machine Intelligence 5 (4), 340-350",,
Zero-shot drug repurposing with geometric deep learning and clinician centered design,10,2023
"K Huang, P Chandak, Q Wang, S Havaldar, A Vaid, J Leskovec, ...",,
"medRxiv, 2023.03. 19.23287458",,
Evaluating explainability for graph neural networks,54,2023
"C Agarwal, O Queen, H Lakkaraju, M Zitnik",,
"Scientific Data 10 (1), 144",,
Biomonitoring and precision health in deep space supported by artificial intelligence,7,2023
"RT Scott, LM Sanders, EL Antonsen, JJA Hastings, S Park, G Mackintosh, ...",,
"Nature Machine Intelligence 5 (3), 196-207",,
Biological research and self-driving labs in deep space supported by artificial intelligence,6,2023
"LM Sanders, RT Scott, JH Yang, AA Qutub, H Garcia Martin, DC Berrios, ...",,
"Nature Machine Intelligence 5 (3), 208-219",,
GNNDelete: A general strategy for unlearning in graph neural networks,18,2023
"J Cheng, G Dasoulas, H He, C Agarwal, M Zitnik",,
arXiv preprint arXiv:2302.13406,,
Space Biology Beyond LEO Instrumentation & Science Series Science Working Group 2022 Annual Report,1,2023
"E Blaber, T Boothby, CE Carr, RC Everroad, J Foster, J Galazka, JA Lee, ...",,
Building a knowledge graph to enable precision medicine,107,2023
"P Chandak, K Huang, M Zitnik",,
"Scientific Data 10 (1), 67",,
Multimodal representation learning for predicting molecule–disease relations,7,2023
"J Wen, X Zhang, E Rush, VA Panickan, X Li, T Cai, D Zhou, YL Ho, ...",,
"Bioinformatics 39 (2), btad085",,
Scoping review of knowledge graph applications in biomedical and healthcare sciences,,2023
"S Budhdeo, J Zhang, Y Abdulle, PM Agapow, DGJ McKechnie, M Archer, ...",,
"medRxiv, 2023.12. 13.23299844",,
"Building a knowledge graph to enable precision medicine. Scientific Data 10, 1 (2023), 67",2,2023
"P Chandak, K Huang, M Zitnik",,
Zero-shot prediction of therapeutic use with geometric deep learning and clinician centered design. medRxiv,,2023
"K Huang, P Chandak, Q Wang, S Havaldar, A Vaid, J Leskovec, ...",,
Comparison of BERT implementations for natural language processing of narrative medical documents,14,2023
"A Turchin, S Masharsky, M Zitnik",,
"Informatics in Medicine Unlocked 36, 101139",,
Deep learning for diagnosing patients with rare genetic diseases,3,2022
"E Alsentzer, MM Li, SN Kobren, IS Kohane, M Zitnik",,
medRxiv,,
Openxai: Towards a transparent evaluation of model explanations,84,2022
"C Agarwal, S Krishna, E Saxena, M Pawelczyk, N Johnson, I Puri, M Zitnik, ...",,
"Advances in Neural Information Processing Systems 35, 15784-15799",,
Self-supervised contrastive pre-training for time series via time-frequency consistency,129,2022
"X Zhang, Z Zhao, T Tsiligkaridis, M Zitnik",,
"Advances in Neural Information Processing Systems 35, 3988-4003",,
Graph representation learning in biomedicine and healthcare,114,2022
"MM Li, K Huang, M Zitnik",,
"Nature Biomedical Engineering 6 (12), 1353-1369",,
A manifesto on explainability for artificial intelligence in medicine,59,2022
"C Combi, B Amico, R Bellazzi, A Holzinger, JH Moore, M Zitnik, ...",,
"Artificial Intelligence in Medicine 133, 102423",,
Extending the nested model for user-centric XAI: A design study on GNN-based drug repurposing,23,2022
