TITLE,CITED BY,YEAR
Author Correction: Advances and prospects for the Human BioMolecular Atlas Program (HuBMAP),,2024
"S Jain, L Pei, JM Spraggins, M Angelo, JP Carson, N Gehlenborg, F Ginty, ...",,
"Nature Cell Biology, 1-1",,
Digital Accessibility of Life Sciences Data Portals and Journal Websites?,,2024
"S L'Yi, TC Smits, A Lex, N Gehlenborg",,
OSF,,
The chromatin landscape of healthy and injured cell types in the human kidney,4,2024
"DL Gisch, M Brennan, BB Lake, J Basta, MS Keller, R Melo Ferreira, ...",,
"Nature Communications 15 (1), 433",,
"Cistrome Data Browser: integrated search, analysis and visualization of chromatin data",1,2024
"L Taing, A Dandawate, S L’Yi, N Gehlenborg, M Brown, CA Meyer",,
"Nucleic Acids Research 52 (D1), D61-D66",,
Chromoscope: interactive multiscale visualization for structural variation in human genomes,,2023
"S L’Yi, D Maziec, V Stevens, T Manz, A Veit, M Berselli, PJ Park, ...",,
"Nature Methods 20 (12), 1834-1835",,
How surgeons use risk calculators and non-clinical factors for informed consent and shared decision making: A qualitative study,,2023
"J Panton, BR Beaulieu-Jones, JS Marwaha, AP Woods, D Nakikj, ...",,
"The American Journal of Surgery 226 (5), 660-667",,
Beyond generating code: Evaluating gpt on a data visualization course,7,2023
"Z Chen, C Zhang, Q Wang, J Troidl, S Warchol, J Beyer, N Gehlenborg, ...",,
"2023 IEEE VIS Workshop on Visualization Education, Literacy, and Activities …",,
Enabling Multimodal User Interactions for Genomics Visualization Creation,,2023
"Q Wang, X Liu, MQ Liang, S L’Yi, N Gehlenborg",,
"2023 IEEE Visualization and Visual Analytics (VIS), 111-115",,
The Role of Visualization in Genomics Data Analysis Workflows: The Interviews,,2023
"S L’Yi, Q Wang, N Gehlenborg",,
"2023 IEEE Visualization and Visual Analytics (VIS), 101-105",,
Clinical phenotypes and outcomes in children with multisystem inflammatory syndrome across SARS-CoV-2 variant eras: a multinational study from the 4CE consortium,6,2023
"F Sperotto, A Gutiérrez-Sacristán, S Makwana, X Li, VN Rofeberg, T Cai, ...",,
eClinicalMedicine 64,,
Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study,1,2023
"A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, ...",,
eClinicalMedicine 64,,
OME-Zarr: a cloud-optimized bioimaging file format with international community support,30,2023
"J Moore, D Basurto-Lozada, S Besson, J Bogovic, J Bragantini, EM Brown, ...",,
"Histochemistry and Cell Biology 160 (3), 223-251",,
"Alerts and Collections for Automating Patients’ Sensemaking and Organizing of Their Electronic Health Record Data for Reflection, Planning, and Clinical Visits: Qualitative …",,2023
"D Nakikj, D Kreda, N Gehlenborg",,
"JMIR Human Factors 10, e41552",,
Organ Mapping Antibody Panels: a community resource for standardized multiplexed tissue imaging,11,2023
"EM Quardokus, DC Saunders, E McDonough, JW Hickey, C Werlein, ...",,
"Nature Methods 20 (8), 1174-1178",,
Advances and prospects for the Human BioMolecular Atlas Program (HuBMAP),31,2023
"S Jain, L Pei, JM Spraggins, M Angelo, JP Carson, N Gehlenborg, F Ginty, ...",,
"Nature cell biology 25 (8), 1089-1100",,
"Author Correction: Comprehensive analysis of chromothripsis in 2,658 human cancers using whole-genome sequencing",,2023
"I Cortés-Ciriano, JJK Lee, R Xi, D Jain, YL Jung, L Yang, D Gordenin, ...",,
"Nature genetics 55 (6), 1076-1076",,
Potential pitfalls in the use of real-world data for studying long COVID,9,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
"Nature medicine 29 (5), 1040-1043",,
DRAVA: Aligning Human Concepts with Machine Learning Latent Dimensions for the Visual Exploration of Small Multiples,4,2023
"Q Wang, S L'Yi, N Gehlenborg",,
Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems …,,
New Ways for Patients to Make Sense of Their Electronic Health Record Data Using the Discovery Web Application: Think-Aloud Evaluation Study,1,2023
"D Nakikj, D Kreda, N Gehlenborg",,
"JMIR Formative Research 7, e41346",,
Zero-shot drug repurposing with geometric deep learning and clinician centered design,9,2023
"K Huang, P Chandak, Q Wang, S Havaldar, A Vaid, J Leskovec, ...",,
"medRxiv, 2023.03. 19.23287458",,
Matrix and analysis metadata standards (MAMS) to facilitate harmonization and reproducibility of single-cell data,2,2023
"Y Wang, I Sarfraz, WK Teh, A Sokolov, BR Herb, HH Creasy, I Virshup, ...",,
bioRxiv,,
Cistrome Explorer: an interactive visual analysis tool for large-scale epigenomic data,,2023
"S L’Yi, MS Keller, A Dandawate, L Taing, CH Chen, M Brown, CA Meyer, ...",,
"Bioinformatics 39 (2), btad018",,
Characterizing the use of the ICD-10 Code for Long COVID in 3 US Healthcare Systems (preprint),,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
Characterizing the use of the ICD-10 Code for Long COVID in 3 US Healthcare Systems,2,2023
"HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, ...",,
"medRxiv, 2023.02. 12.23285701",,
Long-term kidney function recovery and mortality after COVID-19-associated acute kidney injury: an international multi-centre observational cohort study,36,2023
"BWL Tan, BWQ Tan, ALM Tan, ER Schriver, A Gutiérrez-Sacristán, P Das, ...",,
EClinicalMedicine 55,,
Gos: a declarative library for interactive genomics visualization in Python,5,2023
"T Manz, S L’Yi, N Gehlenborg",,
"Bioinformatics 39 (1), btad050",,
Hospitalizations Associated With Mental Health Conditions Among Adolescents in the US and France During the COVID-19 Pandemic,8,2022
"A Gutiérrez-Sacristán, A Serret-Larmande, MR Hutch, C Sáez, BJ Aronow, ...",,
"JAMA Network Open 5 (12), e2246548-e2246548",,
Extending the nested model for user-centric XAI: a design study on GNN-based drug repurposing,22,2022
"Q Wang, K Huang, P Chandak, M Zitnik, N Gehlenborg",,
"IEEE Transactions on Visualization and Computer Graphics 29 (1), 1266-1276",,
GenoREC: A Recommendation System for Interactive Genomics Data Visualization,6,2022
"A Pandey, S L'Yi, Q Wang, MA Borkin, N Gehlenborg",,
IEEE Transactions on Visualization and Computer Graphics,,
Multi-view design patterns and responsive visualization for genomics data,6,2022
"S L'Yi, N Gehlenborg",,
"IEEE Transactions on Visualization and Computer Graphics 29 (1), 559-569",,
Polyphony: an Interactive Transfer Learning Framework for Single-Cell Data Analysis,4,2022
"F Cheng, MS Keller, H Qu, N Gehlenborg, Q Wang",,
"IEEE Transactions on Visualization and Computer Graphics 29 (1), 591-601",,
NIH SenNet Consortium: Mapping Senescent Cells in the Human Body to Understand Health and Disease,2,2022
"P Lee, P Blood, K Börner, J Campisi, F Chen, H Daldrup-Link, P De Jager, ...",,
Preprints,,
Design and Development of Halyos: A Patient-Facing Visual EHR Interface for Longitudinal Risk Awareness,1*,2022
"S Mataraso, V Socrates, F Lekschas, N Gehlenborg",,
"ACI Open 6 (02), e123-e128",,
"Alerts and Collections for Automating the Patients’ Sensemaking and Organizing Their Multi-provider EHR Data for Reflection, Planning and Clinical Visits: A Qualitative User …",,2022
"D Nakikj, D Kreda, N Gehlenborg",,
OSF Preprints,,
New Ways for Patients to Make Sense of Their EHR Data Using the Discovery Web-application: A Qualitative Evaluation Study,,2022
"D Nakikj, D Kreda, N Gehlenborg",,
OSF Preprints,,
International electronic health record-derived post-acute sequelae profiles of COVID-19 patients,21,2022
"HG Zhang, A Dagliati, Z Shakeri Hossein Abad, X Xiong, CL Bonzel, Z Xia, ...",,
"npj Digital Medicine 5 (1), 81",,
Changes in laboratory value improvement and mortality rates over the course of the pandemic: an international retrospective cohort study of hospitalised patients infected with …,6,2022
"C Hong, HG Zhang, S L'Yi, G Weber, P Avillach, BWQ Tan, ...",,
"BMJ open 12 (6), e057725",,
The 4D Nucleome Data Portal as a resource for searching and visualizing curated nucleomics data,63,2022
"SB Reiff, AJ Schroeder, K K?rl?, A Cosolo, C Bakker, L Mercado, S Lee, ...",,
"Nature communications 13 (1), 2365",,
User-Centric Process of Designing a Molecular & Cellular Query Interface for Biomedical Research,,2022
"TS Liaw, N Gehlenborg",,
"Proceedings of the Design Society 2, 221-230",,
Effective Communication of Personalized Risks and Patient Preferences During Surgical Informed Consent Using Data Visualization: Qualitative Semistructured Interview Study With …,5,2022
"U Gisladottir, D Nakikj, R Jhunjhunwala, J Panton, G Brat, N Gehlenborg",,
"JMIR Human Factors 9 (2), e29118",,
MITI Minimum Information guidelines for highly multiplexed tissue images,40,2022
"D Schapiro, C Yapp, A Sokolov, SM Reynolds, YA Chen, D Sudar, Y Xie, ...",,
"Nature Methods 19 (3), 262-267",,
Neurological Diagnoses in Hospitalized COVID-19 Patients Associated With Adverse Outcomes: A Multinational Cohort Study,1,2022
"MR Hutch, J Son, TT Le, C Hong, X Wang, Z Shakeri Hossein Abad, ...",,
Improving the Utility and Usability of Visualization in AI-driven Scientific Discovery,,2022
"Q Wang, S L'Yi, N Gehlenborg",,
OSF Preprints,,
Authorship correction: international changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: retrospective cohort study,1,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
"Journal of Medical Internet Research 23 (11), e34625",,
Erratum: International changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: Retrospective cohort study (Journal of Medical Internet Research (2021 …,,2021
"GM Weber, HG Zhang, S L'Yi, B Clara-Lea, C Hong, P Avillach, ...",,
International changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: retrospective cohort study,16,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
"Journal of medical Internet research 23 (10), e31400",,
Vitessce: a framework for integrative visualization of multi-modal and spatially-resolved single-cell data,19,2021
"MS Keller, I Gold, C McCallum, T Manz, PV Kharchenko, N Gehlenborg",,
OSF Preprints 10,,
Gosling: A Grammar-based Toolkit for Scalable and Interactive Genomics Data Visualization,42,2021
"S L'Yi, Q Wang, F Lekschas, N Gehlenborg",,
"IEEE Transactions on Visualization and Computer Graphics 28 (1), 140-150",,
ThreadStates: State-based Visual Analysis of Disease Progression,18,2021
"Q Wang, T Mazor, TA Harbig, E Cerami, N Gehlenborg",,
"IEEE Transactions on Visualization and Computer Graphics 28 (1), 238-247",,
International Changes in COVID-19 Clinical Trajectories Across 315 Hospitals and 6 Countries: a 4CE Consortium Study.,2,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
Journal of Medical Internet Research,,
International Analysis of Electronic Health Records of Children and Youth Hospitalized With COVID-19 Infection in 6 Countries,29,2021
"FT Bourgeois, A Gutiérrez-Sacristán, MS Keller, M Liu, C Hong, ...",,
"JAMA Network Open 4 (6), e2112596-e2112596",,
What Every Reader Should Know About Studies Using Electronic Health Record Data but May Be Afraid to Ask,86,2021
"IS Kohane, BJ Aronow, P Avillach, BK Beaulieu-Jones, R Bellazzi, ...",,
"Journal of medical Internet research 23 (3), e22219",,
"International Changes in COVID-19 Clinical Trajectories Across 315 Hospitals and 6 Countries: Retrospective Cohort Study (vol 23, e31400, 2021)",,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
"Journal of Medical Internet Research, 3-3",,
