TITLE,CITED BY,YEAR
<? mode longauthoraffil?> The Human Phenotype Ontology in 2024: phenotypes around the world,2,2024
"MA Gargano, N Matentzoglu, B Coleman, EB Addo-Lartey, ...",,
"Nucleic acids research 52 (D1), D1333-D1346",,
The Human Phenotype Ontology in 2024: phenotypes around the world.,,2023
"P Talapova, MA Gargano, N Matentzoglu, B Coleman, EB Addo-Lartey, ...",,
"Nucleic Acids Research, Oxford University Press",,
Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study,1,2023
"A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, ...",,
Eclinicalmedicine 64,,
Clinical phenotypes and outcomes in children with multisystem inflammatory syndrome across SARS-CoV-2 variant eras: a multinational study from the 4CE consortium,6,2023
"F Sperotto, A Gutiérrez-Sacristán, S Makwana, X Li, VN Rofeberg, T Cai, ...",,
EClinicalMedicine 64,,
"Building a collaborative cloud platform to accelerate heart, lung, blood, and sleep research",3,2023
"S Ahalt, P Avillach, R Boyles, K Bradford, S Cox, B Davis-Dusenbery, ...",,
"Journal of the American Medical Informatics Association 30 (7), 1293-1300",,
Informative Missingness: What can we learn from patterns in missing laboratory data in the electronic health record?,6,2023
"ALM Tan, EJ Getzen, MR Hutch, ZH Strasser, A Gutiérrez-Sacristán, TT Le, ...",,
"Journal of Biomedical Informatics 139, 104306",,
Acute respiratory distress syndrome after SARS-CoV-2 infection on young adult population: International observational federated study based on electronic health records through …,4,2023
"B Moal, A Orieux, T Ferté, A Neuraz, GA Brat, P Avillach, CL Bonzel, T Cai, ...",,
"Plos one 18 (1), e0266985",,
Long-term kidney function recovery and mortality after COVID-19-associated acute kidney injury: an international multi-centre observational cohort study,30,2023
"BWL Tan, BWQ Tan, ALM Tan, ER Schriver, A Gutiérrez-Sacristán, P Das, ...",,
EClinicalMedicine 55,,
Hospitalizations associated with mental health conditions among adolescents in the US and France during the COVID-19 pandemic,9,2022
"A Gutiérrez-Sacristán, A Serret-Larmande, MR Hutch, C Sáez, BJ Aronow, ...",,
"JAMA Network Open 5 (12), e2246548-e2246548",,
Validation of a computational phenotype for finding patients eligible for genetic testing for pathogenic PTEN variants across three centers,2,2022
"C Kothari, S Srivastava, Y Kousa, R Izem, M Gierdalski, D Kim, A Good, ...",,
"Journal of neurodevelopmental disorders 14 (1), 24",,
SurvMaximin: robust federated approach to transporting survival risk prediction models,17,2022
"X Wang, HG Zhang, X Xiong, C Hong, GM Weber, GA Brat, CL Bonzel, ...",,
"Journal of biomedical informatics 134, 104176",,
Multiview Incomplete Knowledge Graph Integration with application to cross-institutional EHR data harmonization,12,2022
"D Zhou, Z Gan, X Shi, A Patwari, E Rush, CL Bonzel, VA Panickan, ...",,
"Journal of Biomedical Informatics 133, 104147",,
International electronic health record-derived post-acute sequelae profiles of COVID-19 patients,20,2022
"HG Zhang, A Dagliati, Z Shakeri Hossein Abad, X Xiong, CL Bonzel, Z Xia, ...",,
"NPJ Digital Medicine 5 (1), 81",,
International comparisons of laboratory values from the 4CE collaborative to predict COVID-19 mortality,8,2022
"GM Weber, C Hong, Z Xia, NP Palmer, P Avillach, S L’yi, MS Keller, ...",,
"NPJ digital medicine 5 (1), 74",,
Changes in laboratory value improvement and mortality rates over the course of the pandemic: an international retrospective cohort study of hospitalised patients infected with …,3,2022
"C Hong, HG Zhang, S L'Yi, G Weber, P Avillach, BWQ Tan, ...",,
"BMJ open 12 (6), e057725",,
Long-term survival after hematopoietic cell transplant for sickle cell disease compared to the United States population,11,2022
"AS Martin, KM Hebert, A Serret-Larmande, V Jouhet, E Hughes, ...",,
"Transplantation and cellular therapy 28 (6), 325. e1-325. e7",,
Distinguishing admissions specifically for COVID-19 from incidental SARS-CoV-2 admissions: national retrospective electronic health record study,28,2022
"JG Klann, ZH Strasser, MR Hutch, CJ Kennedy, JS Marwaha, M Morris, ...",,
"Journal of medical Internet research 24 (5), e37931",,
Streamlining statistical reproducibility: NHLBI ORCHID clinical trial results reproduction,2,2022
"A Serret-Larmande, JR Kaltman, P Avillach",,
"JAMIA open 5 (1), ooac001",,
Distinguishing admissions specifically for COVID-19 from incidental SARS-CoV-2 admissions: a national EHR research Consortium study,3,2022
"JG Klann, ZH Strasser, MR Hutch, CJ Kennedy, JS Marwaha, M Morris, ...",,
medRxiv,,
Multi-PheWAS intersection approach to identify sex differences across comorbidities in 59 140 pediatric patients with autism spectrum disorder,6,2022
"A Gutiérrez-Sacristán, C Sáez, C De Niz, N Jalali, TN DeSain, R Kumar, ...",,
"Journal of the American Medical Informatics Association 29 (2), 230-238",,
SurvMaximin: Robust Federated Approach to Transporting Survival Risk Prediction Models (preprint),,2022
"X Wang, HG Zhang, X Xiong, C Hong, GM Weber, GA Brat, CL Bonzel, ...",,
Neurological Diagnoses in Hospitalized COVID-19 Patients Associated With Adverse Outcomes: A Multinational Cohort Study,1,2022
"MR Hutch, J Son, TT Le, C Hong, X Wang, Z Shakeri Hossein Abad, ...",,
Authorship correction: international changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: retrospective cohort study,1,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
"Journal of Medical Internet Research 23 (11), e34625",,
Long-Term Survival and Late Death after Hematopoietic Cell Transplant for Patients with Sickle Cell Disease Surviving for at Least Two-Years after Transplantation,,2021
"AS Martin, K Hebert, A Serret-Larmande, V Jouhet, E Hughes, ...",,
"Blood 138, 410",,
Erratum: International changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: Retrospective cohort study (Journal of Medical Internet Research (2021 …,,2021
"GM Weber, HG Zhang, S L'Yi, B Clara-Lea, C Hong, P Avillach, ...",,
Multinational characterization of neurological phenotypes in patients hospitalized with COVID-19,5,2021
"TT Le, A Gutierrez-Sacristan, J Son, C Hong, AM South, ...",,
"Scientific Reports 11 (1), 20238",,
International changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: retrospective cohort study,16,2021
"GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, ...",,
"Journal of Medical Internet Research 23 (10), e31400",,
Medication use in the management of comorbidities among individuals with autism spectrum disorder from a large nationwide insurance database,36,2021
"AG Feroe, N Uppal, A Gutiérrez-Sacristán, S Mousavi, P Greenspun, ...",,
"JAMA pediatrics 175 (9), 957-965",,
Finding commonalities in rare diseases through the undiagnosed diseases network,2,2021
"J Yates, A Gutiérrez-Sacristán, V Jouhet, K LeBlanc, C Esteves, ...",,
"Journal of the American Medical Informatics Association 28 (8), 1694-1702",,
The urgent need for research coordination to advance knowledge on COVID-19 in children,7,2021
