TITLE,CITED BY,YEAR
An intronic SINE-VNTR-Alu element insertion in CASP8 alters gene expression and confers resistance to induction of cell death in gastrointestinal cancer,,2024
"EW Lin, JR Kocher, C Chu, PJ Park, DT Ting",,
"Cancer Research 84 (6_Supplement), 5675-5675",,
Contrasting somatic mutation patterns in aging human neurons and oligodendrocytes,,2024
"J Ganz, LJ Luquette, S Bizzotto, MB Miller, Z Zhou, CL Bohrson, H Jin, ...",,
Cell,,
Epigenetic profiling reveals key genes and cis-regulatory networks specific to human parathyroids,,2024
"YL Jung, W Zhao, I Li, D Jain, CB Epstein, BE Bernstein, S Parangi, ...",,
"Nature Communications 15 (1), 2106",,
Chromosome evolution screens recapitulate tissue-specific tumor aneuploidy patterns,1,2024
"EV Watson, JJK Lee, DC Gulhan, GEM Melloni, SV Venev, RY Magesh, ...",,
"Nature Genetics, 1-13",,
Accurate and sensitive mutational signature analysis with MuSiCal,1,2024
"H Jin, DC Gulhan, B Geiger, D Ben-Isvy, D Geng, V Ljungström, PJ Park",,
"Nature Genetics, 1-12",,
A Panel-Based Mutational Signature of Mismatch Repair Deficiency is Associated With Durable Response to Pembrolizumab in Metastatic Castration-Resistant Prostate Cancer,,2024
"D Boiarsky, DC Gulhan, H Savignano, G Lakshminarayanan, HM McClure, ...",,
Clinical Genitourinary Cancer,,
Contrasting patterns of somatic mutations in neurons and glia reveal differential predisposition to disease in the aging human brain,,2024
"S Bizzotto, J Ganz, LJ Luquette, CL Bohrson, H Jin, MB Miller, Z Zhou, ...",,
"EUROPEAN JOURNAL OF HUMAN GENETICS 32, 29-30",,
Predicting response to immune checkpoint blockade therapy among mismatch repair-deficient patients using mutational signatures,1,2024
"DC Gulhan, V Viswanadham, F Muyas, H Jin, MB Foote, JJK Lee, ...",,
"medRxiv, 2024.01. 19.24301236",,
A role for mutations in AK9 and other genes affecting ependymal cells in idiopathic normal pressure hydrocephalus,,2023
"HW Yang, S Lee, BC Berry, D Yang, S Zheng, RS Carroll, PJ Park, ...",,
"Proceedings of the National Academy of Sciences 120 (51), e2300681120",,
Hyper-Dependence on NHEJ Enables Synergy between DNA-PK Inhibitors and Low-Dose Doxorubicin in Leiomyosarcoma,1,2023
"A Marino-Enriquez, JP Novotny, DC Gulhan, I Klooster, AV Tran, M Kasbo, ...",,
"Clinical Cancer Research 29 (24), 5128-5139",,
Chromoscope: interactive multiscale visualization for structural variation in human genomes,,2023
"S L’Yi, D Maziec, V Stevens, T Manz, A Veit, M Berselli, PJ Park, ...",,
"Nature Methods 20 (12), 1834-1835",,
The landscape of human SVA retrotransposons,1,2023
"C Chu, EW Lin, A Tran, H Jin, NI Ho, A Veit, I Cortes-Ciriano, KH Burns, ...",,
"Nucleic Acids Research 51 (21), 11453-11465",,
Genomic data resources of the Brain Somatic Mosaicism Network for neuropsychiatric diseases,,2023
"MKA Garrison, Y Jang, T Bae, A Cherskov, SB Emery, L Fasching, ...",,
"Scientific Data 10 (1), 813",,
Cell lineage analysis with somatic mutations reveals late divergence of neuronal cell types and cortical areas in human cerebral cortex,,2023
"SN Kim, VV Viswanadham, RN Doan, Y Dou, S Bizzotto, S Khoshkhoo, ...",,
bioRxiv,,
A pan-tissue survey of mosaic chromosomal alterations in 948 individuals,,2023
"T Gao, ME Kastriti, V Ljungström, A Heinzel, AS Tischler, R Oberbauer, ...",,
"Nature Genetics 55 (11), 1901-1911",,
Author Correction: The landscape of somatic mutation in cerebral cortex of autistic and neurotypical individuals revealed by ultra-deep whole-genome sequencing,,2023
"RE Rodin, Y Dou, M Kwon, MA Sherman, AM D'Gama, RN Doan, ...",,
"Nature neuroscience 26 (10), 1833",,
"Schizophrenia-associated somatic copy-number variants from 12,834 cases reveal recurrent NRXN1 and ABCB11 disruptions",4,2023
"EA Maury, MA Sherman, G Genovese, TG Gilgenast, T Kamath, SJ Burris, ...",,
Cell Genomics 3 (8),,
Spatial and temporal organization of the genome: Current state and future aims of the 4D nucleome project,11,2023
"J Dekker, F Alber, S Aufmkolk, BJ Beliveau, BG Bruneau, AS Belmont, ...",,
Molecular cell,,
A framework for individualized splice-switching oligonucleotide therapy,17,2023
"J Kim, S Woo, CM de Gusmao, B Zhao, DH Chin, RL DiDonato, ...",,
"Nature 619 (7971), 828-836",,
ER?-associated translocations underlie oncogene amplifications in breast cancer,20,2023
"JJK Lee, YL Jung, TC Cheong, J Espejo Valle-Inclan, C Chu, DC Gulhan, ...",,
"Nature 618 (7967), 1024-1032",,
"Author Correction: Comprehensive analysis of chromothripsis in 2,658 human cancers using whole-genome sequencing",,2023
"I Cortés-Ciriano, JJK Lee, R Xi, D Jain, YL Jung, L Yang, D Gordenin, ...",,
"Nature genetics 55 (6), 1076-1076",,
Hepatocyte identity and zonal position determine tumourigenic potential of mutant ?-catenin,,2023
"A Raven, K Gilroy, H Jin, H Leslie, H Hall, R Ridgway, C Ford, D Gulhan, ...",,
"Publisher Correction: Comprehensive analysis of chromothripsis in 2,658 human cancers using whole-genome sequencing",3,2023
"I Cortés-Ciriano, JJK Lee, R Xi, D Jain, YL Jung, L Yang, D Gordenin, ...",,
"Nature genetics 55 (5), 893-893",,
"Pan-cancer analysis of whole genomes identifies driver rearrangements promoted by LINE-1 retrotransposition (vol 52, pg 306, 2020)",,2023
"B Rodriguez-Martin, EG Alvarez, A Baez-Ortega, J Zamora, F Supek, ...",,
NATURE GENETICS,,
Abstract P5-12-03: Intratumor heterogeneity and intrinsic immune activation are associated with response to chemotherapy in BRCA-related breast cancers,1,2023
"F Batalini, DC Gulhan, XL Katopodi, N Kalavros, A Tran, D Karagkouni, ...",,
"Cancer Research 83 (5_Supplement), P5-12-03-P5-12-03",,
Genomic patterns of malignant peripheral nerve sheath tumor (MPNST) evolution correlate with clinical outcome and are detectable in cell-free DNA,20,2023
"I Cortes-Ciriano, CD Steele, K Piculell, A Al-Ibraheemi, V Eulo, MM Bui, ...",,
"Cancer discovery 13 (3), 654-671",,
Contrasting patterns of somatic mutations in neurons and glia reveal differential predisposition to disease in the aging human brain,3,2023
"J Ganz, LJ Luquette, S Bizzotto, CL Bohrson, H Jin, MB Miller, Z Zhou, ...",,
bioRxiv,,
Abstract P002: Timing onset of homologous recombination deficiency before cancer diagnosis in BRCA1/2 mutation carriers,,2023
"D Glodzik, D Gulhan, PJ Park",,
"Cancer Prevention Research 16 (1_Supplement), P002-P002",,
Mutational signature 3 detected from clinical panel sequencing is associated with responses to olaparib in breast and ovarian cancers,20,2022
"F Batalini, DC Gulhan, V Mao, A Tran, M Polak, N Xiong, N Tayob, ...",,
"Clinical Cancer Research 28 (21), 4714-4723",,
Single-cell genome sequencing of human neurons identifies somatic point mutation and indel enrichment in regulatory elements,30,2022
"LJ Luquette, MB Miller, Z Zhou, CL Bohrson, Y Zhao, H Jin, D Gulhan, ...",,
"Nature genetics 54 (10), 1564-1571",,
Genome-Wide Disease Screening of Early Human Embryos at Base-Pair Resolution,,2022
"Y Xia, V Gonzalez-Pena, D Klein, D Chandramohan, W Chertman, ...",,
Analysis of somatic mutations in 131 human brains reveals aging-associated hypermutability,32,2022
"T Bae, L Fasching, Y Wang, JH Shin, M Suvakov, Y Jang, S Norton, ...",,
"Science 377 (6605), 511-517",,
Recurrent genomic patterns of MPNST evolution correlate with clinical outcome,,2022
"IC Ciriano, CD Steele, K Piculell, A Al-Ibraheemi, V Eulo, MM Bui, ...",,
"Cancer Research 82 (12_Supplement), 6084-6084",,
Antisense oligonucleotide-based progranulin augmentation therapy in neurodegenerative diseases,,2022
"PJ Park, JK Kim, T Yu, YH Huang",,
"US Patent 11,359,199",,
Reverse transcriptase inhibition disrupts repeat element life cycle in colorectal cancer,28,2022
"M Rajurkar, AR Parikh, A Solovyov, E You, AS Kulkarni, C Chu, KH Xu, ...",,
"Cancer discovery 12 (6), 1462-1481",,
Antisense oligonucleotide-based progranulin augmentation therapy in neurodegenerative diseases,,2022
"PJ Park, JK Kim, T Yu, YH Huang",,
"US Patent App. 17/440,438",,
The 4D Nucleome Data Portal as a resource for searching and visualizing curated nucleomics data,67,2022
"SB Reiff, AJ Schroeder, K K?rl?, A Cosolo, C Bakker, L Mercado, S Lee, ...",,
"Nature communications 13 (1), 2365",,
Computational analysis of cancer genome sequencing data,49,2022
"I Cortés-Ciriano, DC Gulhan, JJK Lee, GEM Melloni, PJ Park",,
"Nature Reviews Genetics 23 (5), 298-314",,
Pairs and Pairix: a file format and a tool for efficient storage and retrieval for Hi-C read pairs,11,2022
"S Lee, CR Bakker, C Vitzthum, BH Alver, PJ Park",,
"Bioinformatics 38 (6), 1729-1731",,
Single-cell gene fusion detection by scFusion,13,2022
"Z Jin, W Huang, N Shen, J Li, X Wang, J Dong, PJ Park, R Xi",,
"Nature Communications 13 (1), 1084",,
Enrichment of somatic mutations in schizophrenia brain targets prenatally active transcription factor bindings sites,4,2022
"EA Maury, A Jones, V Seplyarskiy, C Rosenbluh, T Bae, Y Wang, ...",,
"bioRxiv, 2022.02. 23.481681",,
Systems and methods for classifying tumors,,2022
"DC Gulhan, PJ Park",,
"US Patent App. 17/277,647",,
Micro-Meta App: an interactive tool for collecting microscopy metadata based on community specifications,17,2021
"A Rigano, S Ehmsen, SU Öztürk, J Ryan, A Balashov, M Hammer, K Kirli, ...",,
"Nature Methods 18 (12), 1489-1495",,
Whole-genome analysis reveals the contribution of non-coding de novo transposon insertions to autism spectrum disorder,19,2021
"R Borges-Monroy, C Chu, C Dias, J Choi, S Lee, Y Gao, T Shin, PJ Park, ...",,
"Mobile DNA 12, 1-15",,
Comprehensive identification of somatic nucleotide variants in human brain tissue,34,2021
"Y Wang, T Bae, J Thorpe, MA Sherman, AG Jones, S Cho, K Daily, Y Dou, ...",,
"Genome biology 22, 1-32",,
Somatic mutation accumulation seen through a single-molecule lens,1,2021
"LJ Luquette, PJ Park",,
"Cell Research 31 (9), 949-950",,
Genome-wide disease screening in early human embryos with primary template-directed amplification,4,2021
"Y Xia, V Gonzales-Pena, DJ Klein, JJ Luquette, L Puzon, N Siddiqui, ...",,
"bioRxiv, 2021.07. 06.451077",,
Mutational signature 3 predicts responses to olaparib plus buparlisib in triple-negative breast cancer and high-grade serous ovarian cancer,2,2021
"F Batalini, D Gulhan, V Mao, M Polak, EP Winer, EL Mayer, UA Matulonis, ...",,
"Cancer Research 81 (13_Supplement), 156-156",,
Comprehensive identification of transposable element insertions using multiple sequencing technologies,57,2021
"C Chu, R Borges-Monroy, VV Viswanadham, S Lee, H Li, EA Lee, PJ Park",,
"Nature communications 12 (1), 3836",,
Diverse Classes of Somatic Mutations Accumulate in Individual Neurons during Human Aging,,2021
"M Miller, L Luquette, Z Zhou, C Bohrson, A Galor, J Ganz, S Bizzotto, ...",,
"JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY 80 (6), 559-559",,
Micro-Meta App: an interactive software tool to facilitate the collection of microscopy metadata based on community-driven specifications,6,2021
"A Rigano, S Ehmsen, SU Ozturk, J Ryan, A Balashov, M Hammer, K Kirli, ...",,
"BioRxiv, 2021.05. 31.446382",,
Heterogeneity and Clonal Evolution of Acquired PARP Inhibitor Resistance in TP53- and BRCA1-Deficient Cells,20,2021
"A Färkkilä, A Rodríguez, J Oikkonen, DC Gulhan, H Nguyen, ...",,
"Cancer research 81 (10), 2774-2787",,
Ultraspecific somatic SNV and indel detection in single neurons using primary template-directed amplification,16,2021
"LJ Luquette, MB Miller, Z Zhou, CL Bohrson, A Galor, MA Lodato, ...",,
"BioRxiv, 2021.04. 30.442032",,
Cis-regulatory dissection of cone development reveals a broad role for Otx2 and Oc transcription factors,9,2021
