TITLE,CITED BY,YEAR
Heterogeneity and predictors of the effects of AI assistance on radiologists,,2024
"F Yu, A Moehring, O Banerjee, T Salz, N Agarwal, P Rajpurkar",,
"Nature Medicine, 1-13",,
Comparative Advantage of Humans vs AI in the Long Tail,,2024
"N Agarwal, R Huang, A Moehring, P Rajpurkar, T Salz, F Yu",,
CRAFT-MD: A Conversational Evaluation Framework for Comprehensive Assessment of Clinical LLMs,,2024
"S Johri, J Jeong, BA Tran, DI Schlessinger, S Wongvibulsin, ZR Cai, ...",,
AAAI 2024 Spring Symposium on Clinical Foundation Models,,
Adapting Segment Anything Models to Medical Imaging via Fine-Tuning without Domain Pretraining,,2024
"K Li, P Rajpurkar",,
AAAI 2024 Spring Symposium on Clinical Foundation Models,,
Video pretraining advances 3D deep learning on chest CT tasks,1,2024
"A Ke, SC Huang, CP O’Connell, M Klimont, S Yeung, P Rajpurkar",,
"Medical Imaging with Deep Learning, 758-774",,
Multimodal image-text matching improves retrieval-based chest x-ray report generation,16,2024
"J Jeong, K Tian, A Li, S Hartung, S Adithan, F Behzadi, J Calle, ...",,
"Medical Imaging with Deep Learning, 978-990",,
The MAIDA initiative: establishing a framework for global medical-imaging data sharing,1,2024
"A Saenz, E Chen, H Marklund, P Rajpurkar",,
"The Lancet Digital Health 6 (1), e6-e8",,
RadGraph2: Modeling Disease Progression in Radiology Reports via Hierarchical Information Extraction,1,2023
"S Khanna, A Dejl, K Yoon, SQH Truong, H Duong, A Saenz, P Rajpurkar",,
"Machine Learning for Healthcare Conference, 381-402",,
Med-flamingo: a multimodal medical few-shot learner,47,2023
"M Moor, Q Huang, S Wu, M Yasunaga, Y Dalmia, J Leskovec, C Zakka, ...",,
"Machine Learning for Health (ML4H), 353-367",,
LymphoML: An interpretable artificial intelligence-based method identifies morphologic features that correlate with lymphoma subtype,2,2023
"V Shankar, X Yang, V Krishna, B Tan, O Silva, R Rojansky, A Ng, ...",,
"Machine Learning for Health (ML4H), 528-558",,
Learning Generalized Medical Image Representations Through Image-Graph Contrastive Pretraining,,2023
"S Khanna, D Michael, M Zitnik, P Rajpurkar",,
"Machine Learning for Health (ML4H), 232--243",,
A framework for integrating artificial intelligence for clinical care with continuous therapeutic monitoring,4,2023
"E Chen, S Prakash, V Janapa Reddi, D Kim, P Rajpurkar",,
"Nature Biomedical Engineering, 1-10",,
Multimodal Clinical Benchmark for Emergency Care (MC-BEC): A Comprehensive Benchmark for Evaluating Foundation Models in Emergency Medicine,1,2023
"E Chen, A Kansal, J Chen, BT Jin, JR Reisler, DA Kim, P Rajpurkar",,
Thirty-seventh Conference on Neural Information Processing Systems Datasets …,,
Style-Aware Radiology Report Generation with RadGraph and Few-Shot Prompting,2,2023
"B Yan, R Liu, DE Kuo, S Adithan, EP Reis, S Kwak, VK Venugopal, ...",,
arXiv preprint arXiv:2310.17811,,
Systems and methods for radiology image classification from noisy images,,2023
"S Zhou, AY Ng, P Rajpurkar, M Sabini, C Wang, NM Phu, A Kiani, J Irvin, ...",,
"US Patent 11,798,159",,
Exploring the Boundaries of GPT-4 in Radiology,9,2023
"Q Liu, S Hyland, S Bannur, K Bouzid, DC Castro, MT Wetscherek, R Tinn, ...",,
arXiv preprint arXiv:2310.14573,,
AI-clinician collaboration via disagreement prediction: A decision pipeline and retrospective analysis of real-world radiologist-AI interactions,1,2023
"M Sanchez, K Alford, V Krishna, TM Huynh, CDT Nguyen, MP Lungren, ...",,
Cell Reports Medicine 4 (10),,
"Autonomous AI systems in the face of liability, regulations and costs",6,2023
"AD Saenz, Z Harned, O Banerjee, MD Abràmoff, P Rajpurkar",,
"npj Digital Medicine 6 (1), 185",,
Guidelines For Rigorous Evaluation of Clinical LLMs For Conversational Reasoning,,2023
"S Johri, J Jeong, BA Tran, DI Schlessinger, S Wongvibulsin, ZR Cai, ...",,
"medRxiv, 2023.09. 12.23295399",,
Evaluating progress in automatic chest x-ray radiology report generation,28,2023
"F Yu, M Endo, R Krishnan, I Pan, A Tsai, EP Reis, EKUN Fonseca, ...",,
Patterns 4 (9),,
Augmenting medical image classifiers with synthetic data from latent diffusion models,3,2023
"LW Sagers, JA Diao, L Melas-Kyriazi, M Groh, P Rajpurkar, AS Adamson, ...",,
arXiv preprint arXiv:2308.12453,,
Combining Human Expertise with Artificial Intelligence: Experimental Evidence from Radiology,47,2023
"N Agarwal, A Moehring, P Rajpurkar, T Salz",,
National Bureau of Economic Research,,
"AI-based pathologic biomarker for pathologic downstaging in patients with muscle-invasive bladder cancer undergoing cystectomy after neoadjuvant nivolumab, gemcitabine, and …",,2023
"V Krishna, GP Sonpavde, S Gupta, BL Maughan, N Agarwal, M Eckstein, ...",,
"Journal of Clinical Oncology 41 (16_suppl), e16566-e16566",,
