TITLE,CITED BY,YEAR
"Genome-wide association analysis of composite sleep health scores in 413,904 individuals",3,2025
"MO Goodman, T Faquih, V Paz, P Nagarajan, JM Lane, B Spitzer, ...",,
"Communications Biology 8 (1), 115",,
Siesta behavior and genetics interact to influence obesity risk,,2025
"M Rodríguez‐Martín, D Salmerón, HS Dashti, A Isabel Cascales, ...",,
"Obesity 33 (1), 164-176",,
Polygenic risk scores: Coming to your operating room?,1,2025
"VP Kovacheva, R Saxena",,
"Anesthesiology 142 (1), 3-5",,
Clinical and genetic associations for night eating syndrome in a patient biobank,,2024
"H Wilcox, R Saxena, JW Winkelman, HS Dashti",,
"Journal of Eating Disorders 12 (1), 211",,
"Evaluating reported ethnicity, genetic ancestry and three-way local-ancestry admixture with preeclampsia in GenPE, a multi-center case-control study of Colombian women",,2024
"NS Vaitinadin, K Gray, C Dupont, M Maher, R SAXENA, J Casas, ...",,
"Circulation 150 (Suppl_1), A4146424-A4146424",,
Gene-Excessive Sleepiness Interactions Suggest Treatment Targets for Obstructive Sleep Apnea Subtype,,2024
"H Wang, P Nagarajan, N Kurniansyah, J Lee, S Gharib, Y Xu, Y Zhang, ...",,
"Brighter nights and darker days predict higher mortality risk: A prospective analysis of personal light exposure in> 88,000 individuals",7,2024
"DP Windred, AC Burns, JM Lane, P Olivier, MK Rutter, R Saxena, ...",,
"Proceedings of the National Academy of Sciences 121 (43), e2405924121",,
61. DISCOVERY OF NOVEL GENES ASSOCIATED WITH SLEEP AND CIRCADIAN RHYTHM PHENOTYPES AND DISORDERS VIA WHOLE-EXOME SEQUENCING,,2024
"Y Zhang, CY Chen, M Maher, J Valliere, L Kunorozva, S Jones, A Wood, ...",,
"European Neuropsychopharmacology 87, 82-83",,
SMIM1 absence is associated with reduced energy expenditure and excess weight,1,2024
"L Stefanucci, C Moslemi, AR Tomé, S Virtue, G Bidault, NS Gleadall, ...",,
"Med 5 (9), 1083-1095. e6",,
Sleep inertia drives the association of evening chronotype with psychiatric disorders: epidemiological and genetic evidence,,2024
"AC Burns, S Zellers, DP Windred, I Daghlas, N Sinnott-Armstrong, ...",,
medRxiv,,
Genetic and functional analysis of Raynaud’s syndrome implicates loci in vasculature and immunity,,2024
"A Tervi, M Ramste, E Abner, P Cheng, JM Lane, M Maher, J Valliere, ...",,
Cell genomics 4 (9),,
Regulatory variation at serotonin receptor 1F (HTR1F) modulates arousals and risk for sleep apnea,,2024
"S Strausz, M Broberg, SE Jones, J Koskela, T Kiiskinen, FinnGen, ...",,
"medRxiv, 2024.08. 29.24312459",,
Placental Origins of Preeclampsia: Insights from Multi-Omic Studies,1,2024
"C Cao, R Saxena, KJ Gray",,
"International Journal of Molecular Sciences 25 (17), 9343",,
Melatonin decreases human adipose tissue insulin sensitivity,2,2024
"C Zambrano, MT Garitaonaindia, D Salmerón, F Pérez‐Sanz, C Tchio, ...",,
"Journal of Pineal Research 76 (5), e12965",,
Genetic variants affect diurnal glucose levels throughout the day,,2024
"N Sinnott-Armstrong, S Strausz, L Urpa, E Abner, J Valliere, P Palta, ...",,
bioRxiv,,
"Personal light exposure patterns and incidence of type 2 diabetes: analysis of 13 million hours of light sensor data and 670,000 person-years of prospective observation",18,2024
"DP Windred, AC Burns, MK Rutter, CHC Yeung, JM Lane, Q Xiao, ...",,
The Lancet Regional Health–Europe 42,,
The role of accelerometer-derived sleep traits on glycated haemoglobin and glucose levels: a Mendelian randomization study,1,2024
