TITLE,CITED BY,YEAR
RExPRT: a machine learning tool to predict pathogenicity of tandem repeat loci,1,2024
"S Fazal, MC Danzi, I Xu, SN Kobren, S Sunyaev, C Reuter, S Marwaha, ...",,
"Genome biology 25 (1), 1-22",,
Low-frequency inherited complement receptor variants are associated with purpura fulminans,2,2024
"PK Bendapudi, S Nazeen, J Ryu, O Söylemez, A Robbins, B Rouaisnel, ...",,
"Blood 143 (11), 1032-1044",,
Deep sequencing of proteotoxicity modifier genes uncovers a Presenilin-2/beta-amyloid-actin genetic risk module shared among alpha-synucleinopathies,,2024
"S Nazeen, X Wang, D Zielinski, I Lam, E Hallacli, P Xu, E Ethier, R Strom, ...",,
"bioRxiv, 2024.03. 03.583145",,
"Critical assessment of genome interpretation consortium. CAGI, the critical assessment of genome interpretation, establishes progress and pprospects for computational genetic …",,2024
"S Jain, C Bakolitsa, EB Steven, P Radivojac, J Moult, S Repo, AH Roger, ...",,
"GENOME BIOLOGY 22 (22; 25 (1): 53.), 1-46",,
"CAGI, the Critical Assessment of Genome Interpretation, establishes progress and prospects for computational genetic variant interpretation methods",1,2024
"N Null, S Jain, C Bakolitsa, SE Brenner, P Radivojac, J Moult, S Repo, ...",,
"Genome Biology 25 (1), 1-46",,
"Joint, multifaceted genomic analysis enables diagnosis of diverse, ultra-rare monogenic presentations",,2024
"SN Kobren, MA Moldovan, R Reimers, D Traviglia, X Li, D Barnum, A Veit, ...",,
"bioRxiv, 2024.02. 13.580158",,
Pervasive correlations between causal disease effects of proximal SNPs vary with functional annotations and implicate stabilizing selection,,2023
"MJ Zhang, A Durvasula, C Chiang, EM Koch, BJ Strober, H Shi, ...",,
medRxiv,,
A biology-aware mutation rate model for human germline,,2023
"EM Koch, V Seplyarskiy, SR Sunyaev",,
"NATURE GENETICS 55 (12), 2033-2034",,
A mutation rate model at the basepair resolution identifies the mutagenic effect of Polymerase III transcription,8,2023
"V Seplyarskiy, EM Koch, DJ Lee, JS Lichtman, HH Luan, SR Sunyaev",,
"Nature Genetics 55 (12), 2235-2242",,
Recurrent mutation in the ancestry of a rare variant,5,2023
"J Wakeley, WT Fan, E Koch, S Sunyaev",,
"Genetics 224 (3), iyad049",,
The landscape of tolerated genetic variation in humans and primates,42,2023
"H Gao, T Hamp, J Ede, JG Schraiber, J McRae, M Singer-Berk, Y Yang, ...",,
"Science 380 (6648), eabn8153",,
"Assessment of mitochondrial genome constraint across> 50,000 individuals in gnomAD to facilitate variant interpretation",,2023
"NJ Lake, W Liu, KM Laricchia, G Tiao, H Zhao, SE Calvo, SR Sunyaev, ...",,
"EUROPEAN JOURNAL OF HUMAN GENETICS 31, 21-21",,
Revisiting mutagenesis at non-B DNA motifs in the human genome,6,2023
"RJ McGinty, SR Sunyaev",,
"Nature structural & molecular biology 30 (4), 417-424",,
FAVOR: functional annotation of variants online resource and annotator for variation across the human genome,40,2023
"H Zhou, T Arapoglou, X Li, Z Li, X Zheng, J Moore, A Asok, S Kumar, ...",,
"Nucleic acids research 51 (D1), D1300-D1311",,
Leveraging pleiotropy to discover and interpret GWAS results for sleep-associated traits,7,2022
"S Chun, S Akle, A Teodosiadis, BE Cade, H Wang, T Sofer, DS Evans, ...",,
"PLoS genetics 18 (12), e1010557",,
Quantifying constraint in the human mitochondrial genome,,2022
"NJ Lake, W Liu, SL Battle, KM Laricchia, G Tiao, D Puiu, AG Compton, ...",,
"bioRxiv, 2022.12. 16.520778",,
The missing link between genetic association and regulatory function,56,2022
"NJ Connally, S Nazeen, D Lee, H Shi, J Stamatoyannopoulos, S Chun, ...",,
"Elife 11, e74970",,
AnFiSA: An open-source computational platform for the analysis of sequencing data for rare genetic disease,1,2022
