TITLE,CITED BY,YEAR
Non-coding autoimmune risk variant defines role for ICOS in T peripheral helper cell development,,2024
"T Kim, M Martínez-Bonet, Q Wang, N Hackert, JA Sparks, Y Baglaenko, ...",,
"Nature Communications 15 (1), 2150",,
Compositions and methods for characterizing polynucleotide sequence alterations,,2024
"Y Baglaenko, S Raychaudhuri",,
"US Patent App. 18/494,528",,
Modeling heterogeneity in single-cell perturbation states enhances detection of response eQTLs,,2024
"C Valencia, A Nathan, JB Kang, L Rumker, H Lee, S Raychaudhuri",,
The genetic basis of autoimmunity seen through the lens of T cell functional traits,,2024
"KA Lagattuta, HL Park, L Rumker, K Ishigaki, A Nathan, S Raychaudhuri",,
"Nature Communications 15 (1), 1-6",,
Towards stratified treatment of JIA: machine learning identifies subtypes in response to methotrexate from four UK cohorts,,2024
"SJW Shoop-Worrall, S Lawson-Tovey, LR Wedderburn, KL Hyrich, ...",,
EBioMedicine 100,,
Leveraging single-cell ATAC-seq and RNA-seq to identify disease-critical fetal and adult brain cell types,1,2024
"SS Kim, B Truong, K Jagadeesh, KK Dey, AZ Shen, S Raychaudhuri, ...",,
"Nature Communications 15 (1), 563",,
Blood immunophenotyping identifies distinct kidney histopathology and outcomes in patients with lupus nephritis,,2024
"A Horisberger, A Griffith, J Keegan, A Arazi, J Pulford, E Murzin, K Howard, ...",,
"bioRxiv, 2024.01. 14.575609",,
High-dimensional phenotyping to define the genetic basis of cellular morphology,4,2024
"M Tegtmeyer, J Arora, S Asgari, BA Cimini, A Nadig, E Peirent, ...",,
"Nature Communications 15 (1), 347",,
Human leukocyte antigen-DQA1*04:01 and rs2040406 variants are associated with elevated risk of childhood Burkitt lymphoma,,2024
"Z Liu, Y Luo, S Kirimunda, M Verboom, OO Onabajo, MH Gouveia, ...",,
"Communications Biology 7 (1), 41",,
Integrating spatial transcriptomics count data with Crescendo improves visualization and detection of spatial gene patterns,,2024
"N Millard, JH Chen, MG Palshikar, K Pelka, M Spurrell, C Price, J He, ...",,
