TITLE,CITED BY,YEAR
Intra-and post-pandemic impact of the COVID-19 outbreak on Stanford Health Care,,
"T Phongpreecha, E Berson, L Xue, S Shome, G Saarunya, J Fralick, ...",,
"Academic Pathology 11 (2), 100113",,2024
Physical activity among pregnant inpatients and outpatients and associations with anxiety,,
"DM Panelli, HE Miller, SL Simpson, J Hurtado, CH Shu, AC Boncompagni, ...",,
European Journal of Obstetrics & Gynecology and Reproductive Biology,,2024
Incidence of Coexisting Diseases in Adult Moyamoya Vasculopathy Patients by Racial Group at a Large American Referral Center,,
"N Wheaton, N Harrison, A Doufas, D Chakraborty, AL Chang, ...",,
"Journal of Neurosurgical Anesthesiology, 10.1097",,2024
Predicting Preterm Birth Using Proteomics,,
"I Mari_, DK Stevenson, N Aghaeepour, B Gaudillière, RJ Wong, MS Angst",,
Clinics in Perinatology,,2024
Computational Approaches for Predicting Preterm Birth and Newborn Outcomes,,
"D Seong, C Espinosa, N Aghaeepour",,
Clinics in Perinatology,,2024
Reassessing acquired neonatal intestinal diseases using unsupervised machine learning,,
"DR Gipson, AL Chang, AC Lure, SA Mehta, T Gowen, E Shumans, ...",,
"Pediatric Research, 1-7",,2024
Corrigendum: Advances and potential of omics studies for understanding the development of food allergy,,
"SB Sindher, AR Chin, N Aghaeepour, L Prince, H Maecker, GM Shaw, ...",,
"Frontiers in Allergy 5, 1373485",,2024
Leveraging electronic health records and knowledge networks for Alzheimer’s disease prediction and sex-specific biological insights,,
"AS Tang, KP Rankin, G Cerono, S Miramontes, H Mills, J Roger, B Zeng, ...",,
"Nature Aging, 1-17",,2024
"Multimodal machine learning for modeling infant head circumference, mothers’ milk composition, and their shared environment",,
"M Becker, K Fehr, S Goguen, K Miliku, C Field, B Robertson, C Yonemitsu, ...",,
"Scientific Reports 14 (1), 2977",,2024
"Air Pollution and Pregnancy: Insights into Immune Response, Histone Modifications, and Cytokine Signatures",,
