TITLE,CITED BY,YEAR
Evolutionary Feature-Binning with Adaptive Burden Thresholding for Biomedical Risk Stratification,,
"H Bandhey, S Sadek, M Kamoun, R Urbanowicz",,
International Conference on the Applications of Evolutionary Computation …,,2024
A Practical Approach for Targeting Structural Variants Genome-wide in Plasma Cell-free DNA,,
"H Tanaka, M Murata, F Igari, R Urbanowicz, L Mouakkad, S Kim, Z Chen, ...",,
2024,,
"Health activism, vaccine, and mpox discourse: BERTopic based mixed-method analyses of tweets from sexual minority men and gender diverse (SMMGD) individuals in the US",,
"Y Wang, K O'Connor, I Flores, CT Berdahl, RJ Urbanowicz, R Stevens, ...",,
"medRxiv, 2024.03. 19.24304519",,2024
Relation Detection to Identify Stroke Assertions from Clinical Notes Using Natural Language Processing,,
"A Yang, S Kamien, A Davoudi, S Hwang, M Gandhi, R Urbanowicz, ...",,
"Studies in Health Technology and Informatics 310, 619-623",,2024
STREAMLINE: An Automated Machine Learning Pipeline for Biomedicine Applied to Examine the Utility of Photography-Based Phenotypes for OSA Prediction Across International Sleep …,,
"RJ Urbanowicz, H Bandhey, BT Keenan, G Maislin, S Hwang, DL Mowery, ...",,
arXiv preprint arXiv:2312.05461,,2023
A Practical Approach for Targeting Structural Variants Genome-wide in Plasma Cell-free DNA,,
"MM Murata, F Igari, R Urbanowicz, L Mouakkad, S Kim, Z Chen, D DiVizio, ...",,
"bioRxiv, 2023.10. 25.564058",,2023
Is low-risk status a surrogate outcome in pulmonary arterial hypertension? An analysis of three randomised trials,,
"BS Blette, J Moutchia, N Al-Naamani, CE Ventetuolo, C Cheng, ...",,
"The Lancet Respiratory Medicine 11 (10), 873-882",8,2023
A Data-Driven Analysis of Ward Capacity Strain Metrics That Predict Clinical Outcomes Among Survivors of Acute Respiratory Failure,,
"R Kohn, MO Harhay, GE Weissman, R Urbanowicz, W Wang, GL Anesi, ...",,
"Journal of Medical Systems 47 (1), 83",,2023
Scikit-FIBERS: An'OR'-Rule Discovery Evolutionary Algorithm for Risk Stratification in Right-Censored Survival Analyses,,
"R Urbanowicz, H Bandhey, M Kamoun, N Fogarty, YA Hsieh",,
Proceedings of the Companion Conference on Genetic and Evolutionary …,1,2023
Modern Applications of Evolutionary Rule-based Machine Learning,,
"A Siddique, W Browne, R Urbanowicz",,
Proceedings of the Companion Conference on Genetic and Evolutionary …,,2023
ChatGPT and large language models in academia: opportunities and challenges,,
"JG Meyer, RJ Urbanowicz, PCN Martin, K O’Connor, R Li, PC Peng, ...",,
"BioData Mining 16 (1), 20",96,2023
Heterogeneity of treatment effects by risk in pulmonary arterial hypertension,,
"HM Pan, RL McClelland, J Moutchia, DH Appleby, JS Fritz, JH Holmes, ...",,
European Respiratory Journal 62 (1),1,2023
HLA amino acid Mismatch-Based risk stratification of kidney allograft failure using a novel Machine learning algorithm,,
"S Dasariraju, L Gragert, GL Wager, K McCullough, NK Brown, M Kamoun, ...",,
"Journal of Biomedical Informatics 142, 104374",4,2023
Multivariable Risk Scores as Surrogate Outcomes in Randomized Trials in Pulmonary Arterial Hypertension,,
"MO Harhay, N Al-Naamani, CE Ventetuolo, D Appleby, R Urbanowicz, ...",,
B97. RISKY BUSINESS: TREATMENTS AND CLINICAL TARGETS IN PULMONARY …,,2023
Heterogeneity of Treatment Effects by Predicted Risk in Pulmonary Arterial Hypertension: An Individual Participant Data Meta-analysis,,
"HM Pan, R McClelland, J Moutchia, D Appleby, JS Fritz, J Holmes, ...",,
"A26. PRECISION-BASED APPROACHES TO PULMONARY VASCULAR DISEASE, A1180-A1180",,2023
CodOpt: Enhancing Drug and Vaccine Development by Using Deep Learning and Natural-Language Processing to Optimize Recombinant Codon Sequences via a Host-Independent Data Pipeline,,
"B Mohanraj, C Lu, R Urbanowicz",,
2023,,
"STREAMLINE: a simple, transparent, end-to-end automated machine learning pipeline facilitating data analysis and algorithm comparison",,
"R Urbanowicz, R Zhang, Y Cui, P Suri",,
"Genetic Programming Theory and Practice XIX, 201-231",20,2023
Toward Predicting 30-Day Readmission Among Oncology Patients: Identifying Timely and Actionable Risk Factors,,
"S Hwang, R Urbanowicz, S Lynch, T Vernon, K Bresz, C Giraldo, ...",,
"JCO clinical cancer informatics 7, e2200097",4,2023
Comparing amyloid imaging normalization strategies for Alzheimer’s disease classification using an automated machine learning pipeline,,
"B Tong, SL Risacher, J Bao, Y Feng, X Wang, MD Ritchie, JH Moore, ...",,
"AMIA Summits on Translational Science Proceedings 2023, 525",3,2023
Exploring automated machine learning for cognitive outcome prediction from multimodal brain imaging using streamline,,
"X Wang, Y Feng, B Tong, J Bao, MD Ritchie, AJ Saykin, JH Moore, ...",,
"AMIA Summits on Translational Science Proceedings 2023, 544",2,2023
Baseline sex differences in pulmonary arterial hypertension randomized clinical trials,,
"CE Ventetuolo, J Moutchia, GL Baird, DH Appleby, RL McClelland, ...",,
"Annals of the American Thoracic Society 20 (1), 58-66",6,2023
"Genetic heterogeneity: Challenges, impacts, and methods through an associative lens",,
"AA Woodward, RJ Urbanowicz, AC Naj, JH Moore",,
"Genetic epidemiology 46 (8), 555-571",14,2022
MACHINE LEARNING BIN DISCOVERY OF DONOR-RECIPIENT HLA AMINO ACID MISMATCHES TO OPTIMIZE IMMUNOGENETICS RISK STRATIFICATION OF KIDNEY GRAFT FAILURE [KM1][KM1] SATVIK AFFILIATION,,
"S Dasariraju, M Kamoun, L Gragert, KP McCullough, GL Wager, ...",,
"HUMAN IMMUNOLOGY 83, 18-19",,2022
A Rule-based Approach for Identifying Genetic Heterogeneity in Survival Data,,
"AA Woodward, RJ Urbanowicz, JH Moore",,
"GENETIC EPIDEMIOLOGY 46 (7), 546-546",,2022
Professional Development for STEM Integration: Analyzing Bioinformatics Teaching by Examining Teachers' Qualities of Adaptive Expertise,,
"SA Yoon, J Shim, K Miller, AM Cottone, NF Noushad, JU Yoo, ...",,
"Teacher Learning in Changing Contexts, 69-90",8,2022
Professional development for STEM integration,,
"SA Yoon, J Shim, K Miller, AM Cottone, N Fatima, JUY Noushad, ...",,
Teaching learning in changing contexts: Perspectives from the learning sciences,1,2022
BMI and treatment response in patients with pulmonary arterial hypertension: a meta-analysis,,
"BE McCarthy, RL McClelland, DH Appleby, JS Moutchia, JK Minhas, ...",,
