TITLE,CITED BY,YEAR
Effect of postpartum oral furosemide use on postpartum readmissions and blood pressure trends,,2025
"S Chandrasekaran, M Azzi, S Potchileev, E Patel, C Bisson, A Mueller, ...",,
"Pregnancy Hypertension 39, 101199",,
Neonatal cost savings in hypertensive disorders of pregnancy: Economic evaluation of the sFlt-1/PlGF test with real world implementation of biomarkers,,2025
"M Azzi, M Silasi, S Potchileev, PC Woodham, A Brawley, A Mueller, ...",,
"Pregnancy Hypertension 39, 101190",,
"Response to the Letter to the Editor:"" Signs or symptoms of suspected preeclampsia-A retrospective National database study of prevalence, costs, and outcomes""",,2025
"K Khosla, Y Jin, J Espinoza, M Kent, M Gencay, LH Kunz, A Mueller, ...",,
"Pregnancy hypertension 39, 101183",,
Systematic treatment and management of postpartum hypertension using remote patient monitoring,,2025
"E Patel, C Bisson, S Suresh, A Mueller, C Duncan, S Shahul, E Lengyel, ...",,
"Pregnancy Hypertension 39, 101180",,
Real-world evidence for utility of serum angiogenic and antiangiogenic biomarker testing,,2025
"S Rana, LP Burns",,
"American Journal of Obstetrics & Gynecology 232 (2), e71",,
Real-world evidence for the utility of serum soluble fms–like tyrosine kinase 1/placental growth factor testing,,2025
"S Rana, LP Burns",,
"American Journal of Obstetrics & Gynecology 232 (2), e67",,
A 26-Year-Old Woman with Postpartum Abdominal Pain,,2025
"LP Burns, A Premkumar, A Czapar, EL Wu, AL Hutchison, O Jamil, S Paul, ...",,
"NEJM evidence 4 (2), EVIDmr2400398",,
Association of Preeclampsia with Long-Term Coronary Microvascular Dysfunction Utilizing Cardiac Stress Magnetic Resonance Imaging,,2024
"R Roy, H Wang, S Huang, I Minga, S Wang, M O'Hara, M Tang, J Slivnick, ...",,
"Circulation 150 (Suppl_1), A4143303-A4143303",,
Institutional Demographics and Outcomes of Admitted Patients with Hypertensive Disorders of Pregnancy,,2024
"M Azzi, S Potchileev, L Burns, A Mueller, S Rana",,
"Circulation 150 (Suppl_1), A4143070-A4143070",,
Long-Term Myocardial Tissue Characterization in Women with Preeclampsia,,2024
"R Roy, H Wang, S Huang, I Minga, M O'Hara, M Tang, S Wang, J Slivnick, ...",,
"Circulation 150 (Suppl_1), A4142982-A4142982",,
Circulating Follistatin-like 3 and its Association with Postpartum Cardiac Dysfunction and Severe Maternal Morbidity,,2024
"M Azzi, S Potchileev, J Dreixler, A Mueller, S Rana, S Shahul",,
"Circulation 150 (Suppl_1), A4141249-A4141249",,
Circulating Follistatin-like 3 and Risk Prediction of Hypertensive Emergency in Patients with Suspected Preeclampsia,,2024
"M Azzi, S Potchileev, J Dreixler, A Mueller, S Rana, S Shahul",,
"Circulation 150 (Suppl_1), A4143039-A4143039",,
The Impact of Community Health Workers in a Pre-existing Postpartum Hypertension Program,,2024
"M Azzi, C Bisson, A Everett, S Potchileev, A Mueller, C Duncan, S Rana",,
"Circulation 150 (Suppl_1), A4143849-A4143849",,
Interne und externe Validierung eines maschinellen Lernalgorithmus zur Erkennung von präeklampsie-assoziierter Komplikationen,,2024
"M Hackelöer, O Rieger, S Suresh, A Mueller, A Hoyler, L Schmidt, ...",,
"Geburtshilfe und Frauenheilkunde 84 (10), 132",,
EP17. 17: Plasma sFlt‐1/PlGF ratio as multiples of the median predicts pre‐eclampsia with severe features within two weeks,,2024
"J Espinoza, V Calsavara, S Kilpatrick, S Rana, M Costantine, K Boggess, ...",,
"Ultrasound in Obstetrics & Gynecology 64, 266-266",,
Plasma soluble fms-like tyrosine kinase 1 to placental growth factor ratio of 11.5 multiples of median predicts preeclampsia with severe features within 2 weeks of testing,3,2024
"J Espinoza, VF Calsavara, S Kilpatrick, S Rana, MM Costantine, ...",,
"American Journal of Obstetrics and Gynecology 231 (3), 363. e1-363. e11",,
Patient perceptions of remote patient monitoring program for hypertensive disorders of pregnancy,,2024
"L Runesha, NT Yordan, A Everett, A Mueller, E Patel, C Bisson, M Silasi, ...",,
"Archives of Gynecology and Obstetrics 310 (3), 1563-1576",,
Extended postpartum outcomes with systematic treatment of and management of postpartum hypertension program,1,2024
"C Bisson, E Patel, A Mueller, S Suresh, C Duncan, A Premkumar, ...",,
"Pregnancy Hypertension 37, 101138",,
Bioflavonoid luteolin inhibits relevant preeclamptic inflammatory and oxidative stress pathways in vitro,,2024
"S Rana, AC Eddy, A Rajakumar, FT Spradley, JP Granger",,
"Pregnancy Hypertension 36, 56-57",,
Six-week blood pressure trends in postpartum patients utilizing remote patient monitoring program,,2024
"C Duncan, E Patel, C Bisson, A Mueller, L Costello, D Lang, S Rana",,
"Pregnancy Hypertension 36, 44-45",,
Postpartum readmissions after implementation of a remote patient monitoring program for hypertension,,2024
"C Duncan, C Bisson, A Mueller, L Costello, D Lang, S Rana",,
"Pregnancy Hypertension 36, 31",,
"Preeclampsia education of the nation Indian chapter (PEN-I), empowering through education",,2024
"R Rajan, P Mehta, S Rana",,
"Pregnancy Hypertension 36, 5-6",,
Association between serum NfL and NfH with Antepartum and Postpartum Hypertension,,2024
"C Duncan, E Patel, J Dreixler, S Rana, S Shahul",,
"Pregnancy Hypertension 36, 37",,
sFlt1/PlGF among patients with suspected preeclampsia when considering hypertensive status,2,2024
"E Patel, S Suresh, A Mueller, C Bisson, K Zhu, S Verlohren, ...",,
"AJOG Global Reports 4 (3), 100359",,
Real-world evidence for the utility of serum soluble fms-like tyrosine kinase 1/placental growth factor test for routine clinical evaluation of hospitalized women with …,1,2024
"LP Burns, S Potchileev, A Mueller, M Azzi, A Premkumar, J Peterson, ...",,
American Journal of Obstetrics and Gynecology,,
Interne und externe Validierung eines auf maschinellem Lernen basierenden Algorithmus zur Erkennung von Präeklampsie-assoziierter Komplikationen bei Hochrisikoschwangerschaften,,2024
"M Hackelöer, O Rieger, S Suresh, A Mueller, A Hoyler, L Schmidt, ...",,
"Zeitschrift für Geburtshilfe und Neonatologie 228 (S 01), 30",,
Discharge medication delivery location and postpartum blood pressure control in patients with hypertensive disorders of pregnancy,,2024
"KH Zhu, WL Lewandowski, CM Bisson, SC Suresh, E Patel, A Mueller, ...",,
"Pregnancy Hypertension 36, 101125",,
"Signs or symptoms of suspected preeclampsia–a retrospective national database study of prevalence, costs, and outcomes",5,2024
"K Khosla, Y Jin, J Espinoza, M Kent, M Gencay, LH Kunz, A Mueller, ...",,
"Pregnancy Hypertension 36, 101124",,
Clinical utility of angiogenic biomarkers,,2024
"E Patel, S Suresh, S Rana",,
"American Journal of Obstetrics & Gynecology 230 (6), e124",,
Plasma sFlt-1/PlGF ratio of 11.5 multiples of median predicts preeclampsia with severe features within two weeks of testing.,1,2024
"J Espinoza, VF Calsavara, S Kilpatrick, S Rana, MM Costantine, ...",,
"American Journal of Obstetrics and Gynecology, S0002-9378 (24) 00659",,
Report from a text-based blood pressure monitoring prospective cohort trial among postpartum women with hypertensive disorders of pregnancy,1,2024
"ASZ Moustafa, W Yimer, A Perry, L Solis, S Belk, R Morris, SK Spencer, ...",,
"BMC Pregnancy and Childbirth 24 (1), 340",,
OPEN ACCESS EDITED BY,,2024
"L McClements, PB Maguire, T Barjat, F de Saint-Étienne, S Rana, ...",,
