TITLE,CITED BY,YEAR
"Integration of 168,000 samples reveals global patterns of the human gut microbiome",7,2025
"RJ Abdill, SP Graham, V Rubinetti, M Ahmadian, P Hicks, A Chetty, ...",,
"Cell 188 (4), 1100-1118. e17",,
Characterizing substructure via mixture modeling in large-scale genetic summary statistics,,2025
"HR Stoneman, AM Price, NS Trout, R Lamont, S Tifour, N Pozdeyev, ...",,
"The American Journal of Human Genetics 112 (2), 235-253",,
Prevalence of Pathogenic Transthyretin Gene Variants in the Rocky Mountain Region,,2025
"E Jacoby, D Quan, E Todd, J Shortt, H Smith, N Rafaels, K Crooks, ...",,
"Muscle & Nerve 71 (2), 252-256",,
BuDDI: Bulk Deconvolution with Domain Invariance to predict cell-type-specific perturbations from bulk,1,2025
"NR Davidson, F Zhang, CS Greene",,
"PLOS Computational Biology 21 (1), e1012742",,
Homologous recombination deficiency in ovarian high-grade serous carcinoma by self-reported race,,2025
"KA Lawson-Michod, CE Johnson, ME Barnard, N Davidson, LJ Collin, ...",,
"medRxiv, 2025.01. 21.25320918",,
Latent spaces for tumour transcriptomes,,2024
"A Ivich, CS Greene",,
"Nature Biomedical Engineering, 1-2",,
Best holdout assessment is sufficient for cancer transcriptomic model selection,1,2024
"J Crawford, M Chikina, CS Greene",,
Patterns 5 (12),,
"An efficient, not-only-linear correlation coefficient based on clustering",1,2024
"M Pividori, MD Ritchie, DH Milone, CS Greene",,
"Cell Systems 15 (9), 854-868. e3",,
A publishing infrastructure for Artificial Intelligence (AI)-assisted academic authoring,7,2024
"M Pividori, CS Greene",,
"Journal of the American Medical Informatics Association 31 (9), 2103-2113",,
Academic Editing Engine (s) For Attribution And Revision Of Scholarly Authoring,,2024
"M Pividori, CS Greene",,
"US Patent App. 18/585,668",,
Molecular subtypes of high-grade serous ovarian cancer across racial groups and gene expression platforms,4,2024
"NR Davidson, ME Barnard, AA Hippen, A Campbell, CE Johnson, ...",,
"Cancer Epidemiology, Biomarkers & Prevention 33 (8), 1114-1125",,
"The future is now: Implementation of standard of care, preemptive pharmacogenomic testing in patients with gastrointestinal cancers.",1,2024
"EC Hearst, JL Martin, KR Crooks, CS Greene, KW Hess, N Johnson, ...",,
"Journal of Clinical Oncology 42 (16_suppl), 1546-1546",,
MousiPLIER: A Mouse Pathway-Level Information Extractor Model,2,2024
"S Zhang, BJ Heil, W Mao, M Chikina, CS Greene, EA Heller",,
eneuro 11 (6),,
Analysis of science journalism reveals gender and regional disparities in coverage,8,2024
"NR Davidson, CS Greene",,
"Elife 12, RP84855",,
Many direct-to-consumer canine genetic tests can identify the breed of purebred dogs,4,2024
"HM Rando, K Graim, G Hampikian, CS Greene",,
"Journal of the American Veterinary Medical Association 262 (5), 1-8",,
Missing cell types in single-cell references impact deconvolution of bulk data but are detectable,2,2024
"A Ivich, NR Davidson, L Grieshober, W Li, SC Hicks, JA Doherty, ...",,
"bioRxiv, 2024.04. 25.590992",,
The Single-cell Pediatric Cancer Atlas: Data portal and open-source tools for single-cell transcriptomics of pediatric tumors,1,2024
"AG Hawkins, JA Shapiro, SJ Spielman, DS Mejia, DV Prasad, N Ichihara, ...",,
"bioRxiv, 2024.04. 19.590243",,
Pseudomonas aeruginosa transcriptome analysis of metal restriction in ex vivo cystic fibrosis sputum,6,2024
"SL Neff, G Doing, T Reiter, TH Hampton, CS Greene, DA Hogan",,
"Microbiology Spectrum 12 (4), e03157-23",,
The Single-cell Pediatric Cancer Atlas: Open-source data and tools for single-cell transcriptomics of pediatric tumors,,2024
"AG Hawkins, JA Shapiro, SJ Spielman, DS Mejia, DV Prasad, N Ichihara, ...",,
"Cancer Research 84 (6_Supplement), 2859-2859",,
Characterization of germline and somatic homologous recombination deficiency features in high-grade serous ovarian cancer among Black individuals,,2024
"K Lawson-Michod, ME Barnard, N Davidson, LJ Collin, C Johnson, ...",,
"Cancer Research 84 (6_Supplement), 6127-6127",,
Publisher Correction: A phase I/Ib trial and biological correlate analysis of neoadjuvant SBRT with single-dose durvalumab in HPV-unrelated locally advanced HNSCC,1,2024
"LB Darragh, MM Knitz, J Hu, ET Clambey, J Backus, A Dumit, V Samedi, ...",,
"Nature Cancer 5 (1), 210",,
Building a vertically integrated genomic learning health system: The biobank at the Colorado Center for Personalized Medicine,20,2024
"LK Wiley, JA Shortt, ER Roberts, J Lowery, E Kudron, M Lin, D Mayer, ...",,
"The American Journal of Human Genetics 111 (1), 11-23",,
A Pathway-Level Information ExtractoR (PLIER) framework to gain mechanistic insights into obesity in Down syndrome,2,2024
"S Nandi, Y Zhu, LA Gillenwater, M Subirana-Granés, H Zhang, N Janani, ...",,
"Biocomputing 2025: Proceedings of the Pacific Symposium, 412-425",,
Optimizer’s dilemma: optimization strongly influences model selection in transcriptomic prediction,3,2024
"J Crawford, M Chikina, CS Greene",,
"Bioinformatics Advances 4 (1), vbae004",,
The probability of edge existence due to node degree: a baseline for network-based predictions,10,2024
"M Zietz, DS Himmelstein, K Kloster, C Williams, MW Nagle, CS Greene",,
"GigaScience 13, giae001",,
Performance of computational algorithms to deconvolve heterogeneous bulk ovarian tumor tissue depends on experimental factors,12,2023
"AA Hippen, DK Omran, LM Weber, E Jung, R Drapkin, JA Doherty, ...",,
"Genome biology 24 (1), 239",,
Projecting genetic associations through gene expression patterns highlights disease etiology and drug mechanisms,13,2023
"M Pividori, S Lu, B Li, C Su, ME Johnson, WQ Wei, Q Feng, B Namjou, ...",,
"Nature communications 14 (1), 5562",,
Analysis of Pseudomonas aeruginosa transcription in an ex vivo cystic fibrosis sputum model identifies metal restriction as a gene expression stimulus,,2023
"SL Neff, G Doing, T Reiter, TH Hampton, CS Greene, DA Hogan",,
bioRxiv,,
OpenPBTA: the open pediatric brain tumor atlas,41*,2023
"JA Shapiro, KS Gaonkar, SJ Spielman, CL Savonen, CJ Bethell, R Jin, ...",,
Cell genomics 3 (7),,
MyGeneset. info: an interactive and programmatic platform for community-curated and user-created collections of genes,2,2023
"R Avila, V Rubinetti, X Zhou, D Hu, Z Qian, MA Cano, E Rodolpho, ...",,
"Nucleic Acids Research 51 (W1), W350-W356",,
Rejoinder: Concluding Remarks on Scholarly Communications,,2023
"JN Katz, G King, E Rosenblatt",,
"Political Analysis 31 (3), 335-336",,
"Is a picture worth 1,000 snps? effects of user-submitted photographs on ancestry estimates from direct-to-consumer canine genetic tests",1,2023
"HM Rando, K Graim, G Hampikian, CS Greene",,
"bioRxiv, 2023.06. 28.546898",,
Deconvolution reveals compositional differences in high-grade serous ovarian cancer subtypes,,2023
"AA Hippen, NR Davidson, ME Barnard, LM Weber, J Gertz, JA Doherty, ...",,
"bioRxiv, 2023.06. 14.544991",,
Machine learning in rare disease,55,2023
"J Banerjee, JN Taroni, RJ Allaway, DV Prasad, J Guinney, C Greene",,
"Nature methods 20 (6), 803-814",,
Changing word meanings in biomedical literature reveal pandemics and new technologies,3,2023
"DN Nicholson, F Alquaddoomi, V Rubinetti, CS Greene",,
"BioData Mining 16 (1), 16",,
The coming of age of nucleic acid vaccines during COVID-19,12,2023
"HM Rando, R Lordan, L Kolla, E Sell, AJ Lee, N Wellhausen, A Naik, ...",,
"Msystems 8 (2), e00928-22",,
Application of traditional vaccine development strategies to SARS-CoV-2,13,2023
"HM Rando, R Lordan, AJ Lee, A Naik, N Wellhausen, E Sell, L Kolla, ...",,
"Msystems 8 (2), e00927-22",,
High-grade serous ovarian cancer somatic mutational signatures in Black and White individuals,,2023
"KA Lawson-Michod, D Nix, L Collin, N Davidson, A Hippen, C Huff, ...",,
"Cancer Research 83 (7_Supplement), 3506-3506",,
The effect of non-linear signal in classification problems using gene expression,5,2023
"BJ Heil, J Crawford, CS Greene",,
"PLoS Computational Biology 19 (3), e1010984",,
Biological research and self-driving labs in deep space supported by artificial intelligence,28,2023
"LM Sanders, RT Scott, JH Yang, AA Qutub, H Garcia Martin, DC Berrios, ...",,
"Nature Machine Intelligence 5 (3), 208-219",,
Biomonitoring and precision health in deep space supported by artificial intelligence,36,2023
"RT Scott, LM Sanders, EL Antonsen, JJA Hastings, S Park, G Mackintosh, ...",,
"Nature Machine Intelligence 5 (3), 196-207",,
Cross-platform normalization enables machine learning model training on microarray and RNA-seq data simultaneously,23,2023
"SM Foltz, CS Greene, JN Taroni",,
"Communications Biology 6 (1), 222",,
Compendium-wide analysis of Pseudomonas aeruginosa core and accessory genes reveals transcriptional patterns across strains PAO1 and PA14,10,2023
"AJ Lee, G Doing, SL Neff, T Reiter, DA Hogan, CS Greene",,
"MSystems 8 (1), e00342-22",,
Computationally efficient assembly of Pseudomonas aeruginosa gene expression compendia,8,2023
"G Doing, AJ Lee, SL Neff, T Reiter, JD Holt, BA Stanton, CS Greene, ...",,
"Msystems 8 (1), e00341-22",,
A publishing infrastructure for AI-assisted academic authoring,24,2023
"M Pividori, CS Greene",,
BioRxiv,,
The Field-Dependent Nature of PageRank Values in Citation Networks,,2023
"BJ Heil, CS Greene",,
bioRxiv,,
"A phase I/Ib trial and biological correlate analysis of neoadjuvant SBRT with single-dose durvalumab in HPV-unrelated locally advanced HNSCC (vol 3, pg 1300, 2022)",,2023
"LB Darragh, MM Knitz, J Hu, ET Clambey, J Backus, A Dumit, V Samedi, ...",,
"NATURE CANCER 4 (1), 148-148",,
Hetnet connectivity search provides rapid insights into how biomedical entities are related,6,2023
"DS Himmelstein, M Zietz, V Rubinetti, K Kloster, BJ Heil, F Alquaddoomi, ...",,
"GigaScience 12, giad047",,
Performance of computational algorithms to deconvolve heterogeneous bulk tumor tissue depends on experimental factors,7,2022
"AA Hippen, DK Omran, LM Weber, E Jung, R Drapkin, JA Doherty, ...",,
