TITLE,CITED BY,YEAR
"The interplay of uncertainty, relevance and learning influences auditory categorization",1,2025
"J Sheth, JS Collina, E Piasini, KP Kording, YE Cohen, MN Geffen",,
"Scientific Reports 15 (1), 3348",,
Individual-specific strategies inform category learning,,2025
"JS Collina, G Erdil, M Xia, CF Angeloni, KC Wood, J Sheth, KP Kording, ...",,
"Scientific Reports 15 (1), 2984",,
Data-Driven Early Prediction of Cerebral Palsy Using AutoML and interpretable kinematic features,,2025
"M Segado, L Prosser, AF Duncan, MJ Johnson, KP Kording",,
"medRxiv, 2025.02. 10.25322007",,
Humans can learn bimodal priors in complex sensorimotor behaviour,,2025
"S Zahno, D Beck, EJ Hossner, KP Kording",,
"bioRxiv, 2025.02. 12.637788",,
Systems and methods for detecting corrupt or inaccurate sensory representations,1,2024
"M Angle, E Huber, RC Gerkin, K Kording",,
"US Patent 12,161,443",,
The Landscape of Causal Discovery Data: Grounding Causal Discovery in Real-World Applications,1,2024
"P Brouillard, C Squires, J Wahl, KP Kording, K Sachs, A Drouin, D Sridhar",,
arXiv preprint arXiv:2412.01953,,
Homogenized  Neural Activity and Connectivity Data,,2024
"Q Simeon, A Kashyap, KP Kording, ES Boyden",,
arXiv preprint arXiv:2411.12091,,
Neural decoding from stereotactic EEG: accounting for electrode variability across subjects,,2024
"G Mentzelopoulos, E Chatzipantazis, AG Ramayya, MJ Hedlund, VP Buch, ...",,
arXiv preprint arXiv:2411.10458,,
Automated segmentation of synchrotron-scanned fossils,,2024
"MAD During, JK Matelsky, FK Gustafsson, DFAE Voeten, D Chen, ...",,
"bioRxiv, 2024.10. 23.619778",,
Computer vision systems and methods for end-to-end training of convolutional neural networks using differentiable dual-decomposition techniques,,2024
"S Wang, VSRS Lokhande, MK Singh, K Kording, J Yarkony",,
"US Patent 12,106,481",,
Modeling Attention and Binding in the Brain through Bidirectional Recurrent Gating,,2024
"S Salehi, J Lei, AS Benjamin, KR Müller, KP Kording",,
"bioRxiv, 2024.09. 09.612033",,
Conclusions about neural network to brain alignment are profoundly impacted by the similarity measure,4,2024
"A Soni, S Srivastava, K Kording, M Khosla",,
"bioRxiv, 2024.08. 07.607035",,
Causal inference on human behaviour,13,2024
"DH Bailey, AJ Jung, AM Beltz, MI Eronen, C Gische, EL Hamaker, ...",,
"Nature human behaviour 8 (8), 1448-1459",,
Efficient optimization of ODE neuron models using gradient descent,4,2024
"IS Jones, KP Kording",,
arXiv preprint arXiv:2407.04025,,
Empirical influence functions to understand the logic of fine-tuning,1,2024
"JK Matelsky, L Ungar, KP Kording",,
arXiv preprint arXiv:2406.00509,,
Measuring causal effects of civil communication without randomization,3,2024
"T Liu, L Ungar, K Kording, M McGuire",,
Proceedings of the International AAAI Conference on Web and Social Media 18 …,,
Computational kinematics of dance: distinguishing hip hop genres,4,2024
"B Baker, T Liu, J Matelsky, F Parodi, B Mensh, JW Krakauer, K Kording",,
"Frontiers in Robotics and AI 11, 1295308",,
Neural signatures of natural behaviour in socializing macaques,29,2024
"C Testard, S Tremblay, F Parodi, RW DiTullio, A Acevedo-Ithier, ...",,
"Nature 628 (8007), 381-390",,
Quantifying cross-species primate facial cues,,2024
"F Parodi, J Matelsky, M Platt, K Kording",,
Bulletin of the American Physical Society,,
"Neural decoding for BCI: the objectives, principles and the future",,2024
K Kording,,
"2024 12th International Winter Conference on Brain-Computer Interface (BCI), 1-2",,
Downstream network transformations dissociate neural activity from causal functional contributions,1,2024
"K Fakhar, S Dixit, F Hadaeghi, KP Kording, CC Hilgetag",,
"Scientific Reports 14 (1), 2103",,
Assessing infant risk of cerebral palsy with video-based motion tracking,1,2024
"M Segado, L Prosser, AF Duncan, MJ Johnson, KP Kording",,
