TITLE,CITED BY,YEAR
Hematologic dynamics during pregnancy and their association with obstetric complications: a retrospective cohort study,,2025
"V Tozzo, R Peherbridge, K James, S Hsu, C Michalopoulos, B Foy, ...",,
"medRxiv, 2025.02. 13.25322250",,
Routine Prenatal cfDNA Screening for Autosomal Dominant Single-Gene Conditions,,2025
"S Adams, OM Trocki, C Miller, C Studwell, M Bombalicki, L Dobson, ...",,
"Clinical Chemistry 71 (1), 129-140",,
First-Trimester Antibiotic Treatments for Urinary Tract Infections and Risk of Congenital Malformations,,2024
"Y Zhu, K Fung, B Bateman, S Hernandez-Diaz, C Lin, T Savage, K Gray, ...",,
"American Journal of Obstetrics & Gynecology 231 (6), S1306-S1307",,
SARS-CoV-2 infection elucidates features of pregnancy-specific immunity,,2024
"DS Oh, E Kim, R Normand, G Lu, LL Shook, A Lyall, O Jasset, S Demidkin, ...",,
Cell reports 43 (11),,
"Evaluating reported ethnicity, genetic ancestry and three-way local-ancestry admixture with preeclampsia in GenPE, a multi-center case-control study of Colombian women",,2024
"NS Vaitinadin, K Gray, C Dupont, M Maher, R SAXENA, J Casas, ...",,
"Circulation 150 (Suppl_1), A4146424-A4146424",,
"Updates in Prevention, Detection, and Management of Alloimmunized Pregnancies",,2024
"TN Sparks, KJ Gray",,
"Obstetrics & Gynecology 144 (4), 433-435",,
Development and validation of claims-based algorithms for estimating gestational age of spontaneous abortion and termination,,2024
"Y Zhu, S Hernandez-Diaz, BT Bateman, KJ Gray, EM Alt, L Straub, ...",,
"American Journal of Epidemiology, kwae372",,
Comparative safety of in utero exposure to buprenorphine combined with naloxone vs buprenorphine alone,4,2024
"L Straub, BT Bateman, S Hernández-Díaz, Y Zhu, EA Suarez, SM Vine, ...",,
"JAMA 332 (10), 805-816",,
Placental Origins of Preeclampsia: Insights from Multi-Omic Studies,1,2024
"C Cao, R Saxena, KJ Gray",,
"International Journal of Molecular Sciences 25 (17), 9343",,
Hierarchical clustering analysis to inform classification of congenital malformations for surveillance of medication safety in pregnancy,,2024
"L Straub, SV Wang, S Hernandez-Diaz, KJ Gray, SM Vine, M Russo, ...",,
"American Journal of Epidemiology, kwae272",,
Prescription medication use during pregnancy in the United States from 2011 to 2020: trends and safety evidence,10,2024
"O Mansour, RG Russo, L Straub, BT Bateman, KJ Gray, KF Huybrechts, ...",,
"American journal of obstetrics and gynecology 231 (2), 250. e1-250. e16",,
Deep survival analysis for interpretable time-varying prediction of preeclampsia risk,1,2024
"BW Eberhard, KJ Gray, DW Bates, VP Kovacheva",,
"Journal of Biomedical Informatics 156, 104688",,
Eighteen-Month Outcomes Among Pregnant and Nonpregnant Reproductive-Aged People Hospitalized for Coronavirus Disease 2019,,2024
"LM Bebell, AE Woolley, KE James, A Kim, MR Joyc, KJ Gray, C Radford, ...",,
"Open Forum Infectious Diseases 11 (7), ofae278",,
Aspiring toward equitable benefits from genomic advances to individuals of ancestrally diverse backgrounds,9,2024
"Y Wang, Y He, Y Shi, DC Qian, KJ Gray, R Winn, AR Martin",,
"The American Journal of Human Genetics 111 (5), 809-824",,
Prescription stimulant use during pregnancy and risk of neurodevelopmental disorders in children,6,2024
"EA Suarez, BT Bateman, S Hernandez-Diaz, L Straub, CJ McDougle, ...",,
"JAMA psychiatry 81 (5), 477-488",,
Placental senescence pathophysiology is shared between peripartum cardiomyopathy and preeclampsia in mouse and human,9,2024
"JD Roh, C Castro, A Yu, S Rana, S Shahul, KJ Gray, MC Honigberg, ...",,
"Science translational medicine 16 (743), eadi0077",,
Polycystic ovary syndrome physiologic pathways implicated through clustering of genetic loci,5,2024
"MI Stamou, KT Smith, H Kim, R Balasubramanian, KJ Gray, MS Udler",,
"The Journal of Clinical Endocrinology & Metabolism 109 (4), 968-977",,
"Risk of autism after prenatal topiramate, valproate, or lamotrigine exposure",36,2024
"S Hernández-Díaz, L Straub, BT Bateman, Y Zhu, H Mogun, KL Wisner, ...",,
"New England Journal of Medicine 390 (12), 1069-1079",,
"Abstract MP14: Gestational Diabetes Mellitus, Circulating Metabolites, and Risk of Future Cardiovascular Disease in US Women",,2024
"J Hu, KJ Gray, J Li, T Huang, DK Tobias, C Zhang, KM Rexrode, Q Sun, ...",,
"Circulation 149 (Suppl_1), AMP14-AMP14",,
Placental transfer dynamics and durability of maternal COVID-19 vaccine-induced antibodies in infants,7,2024
"PA Lopez, N Nziza, T Chen, LL Shook, MD Burns, S Demidkin, O Jasset, ...",,
Iscience 27 (3),,
First trimester use of buprenorphine or methadone and the risk of congenital malformations,6,2024
"EA Suarez, BT Bateman, L Straub, S Hernández-Díaz, HE Jones, KJ Gray, ...",,
"JAMA internal medicine 184 (3), 242-251",,
