no,title,cited_by,year,aligned
30,"Scalability and cost-effectiveness analysis of whole genome-wide association studies on Google Cloud Platform and Amazon Web Services. I Krissaane, C De Niz, A Gutiérrez-Sacristán, G Korodi, N Ede, R Kumar, .... Journal of the American Medical Informatics Association 27 (9), 1425-1430",20,2020,0
20,"Empowering clinical research in a decentralized world. W De Brouwer, CJ Patel, AK Manrai, IR Rodriguez-Chavez, NR Shah. NPJ Digital Medicine 4 (1), 102",40,2021,0
17,"Leveraging vibration of effects analysis for robust discovery in observational biomedical data science. BT Tierney, E Anderson, Y Tan, K Claypool, S Tangirala, AD Kostic, .... PLoS biology 19 (9), e3001398",15,2021,1
21,"PixMatch: Unsupervised Domain Adaptation via Pixelwise Consistency Training. L Melas-Kyriazi, AK Manrai. Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …",108,2021,1
31,"Progress in characterizing the human exposome: a key step for precision medicine. F Martin-Sanchez, R Bellazzi, V Casella, W Dixon, G Lopez-Campos, .... Yearbook of medical informatics 29 (01), 115-120",13,2020,0
15,"Foundational considerations for artificial intelligence using ophthalmic images. MD Abràmoff, B Cunningham, B Patel, MB Eydelman, T Leng, .... Ophthalmology 129 (2), e14-e32",47,2022,1
29,"What about the environment? Leveraging multi-omic datasets to characterize the environment’s role in human health. MH K Passero, S Setia-Verma, K McAllister, AK Manrai, CJ Patel. Pacific Symposium on Biocomputing",1*,2021,1
23,"Removing race from kidney function estimates—reply. JA Diao, NR Powe, AK Manrai. JAMA 325 (19), 2018-2019",4,2021,0
16,"Positive predictive value of the thumb-palm test for general population screening of ascending aortic aneurysm. JA Diao, GJ Wu, AK Manrai. The American Journal of Cardiology 161, 116",2,2021,1
11,"Scientific discovery in the age of artificial intelligence. H Wang, T Fu, Y Du, W Gao, K Huang, Z Liu, P Chandak, S Liu, .... Nature 620 (7972), 47-60",218,2023,1
33,"Prediction of chronological and biological age from laboratory data. L Sagers, L Melas-Kyriazi, CJ Patel, AK Manrai. Aging 12 (9), 7626-7638",25,2020,1
5,"Decoding the exposome: data science methodologies and implications in exposome-wide association studies (ExWASs). MK Chung, JS House, FS Akhtari, KC Makris, MA Langston, KT Islam, .... Exposome 4 (1), osae001",,2024,0
38,"Author correction: Repurposing large health insurance claims data to estimate genetic and environmental contributions in 560 phenotypes.. CM Lakhani, BT Tierney, AK Manrai, J Yang, PM Visscher, CJ Patel. Nature Genetics",1,2019,1
26,"Association of 152 biomarker reference intervals with all-cause mortality in participants of a general United States Survey from 1999 to 2010. N Pho, AK Manrai, JT Leppert, GM Chertow, JPA Ioannidis, CJ Patel. Clinical chemistry 67 (3), 500-507",3,2021,1
18,"Data Mining Approaches to Reference Interval Studies. AE Obstfeld, K Patel, JC Boyd, J Drees, DT Holmes, JPA Ioannidis, .... Clinical Chemistry 67 (9), 1175-1181",16,2021,1
36,"Poly-exposure and poly-genomic scores implicate prominent roles of non-genetic and demographic factors in four common diseases in the UK. Y He, CM Lakhani, AK Manrai, CJ Patel. BioRxiv, 833632",5,2019,1
12,"Artificial intelligence in medicine. AL Beam, JM Drazen, IS Kohane, TY Leong, AK Manrai, EJ Rubin. New England Journal of Medicine 388 (13), 1220-1221",78,2023,1
24,"Harmonizing the collection of clinical data on genetic testing requisition forms to enhance variant interpretation in hypertrophic cardiomyopathy (HCM): a study from the …. A Morales, A Ing, C Antolik, C Austin-Tse, LM Baudhuin, L Bronicki, .... The Journal of Molecular Diagnostics 23 (5), 589-598",8,2021,0
1,"To do no harm—and the most good—with AI in health care. CB Goldberg, L Adams, D Blumenthal, PF Brennan, N Brown, AJ Butte, .... NEJM AI 1 (3), AIp2400036",1,2024,1
37,"Signals among signals: prioritizing nongenetic associations in massive data sets. AK Manrai, JPA Ioannidis, CJ Patel. American Journal of Epidemiology 188 (5), 846-850",19,2019,1
35,"Identifying communities at risk for COVID-19-related burden across 500 US Cities and within New York City (preprint). C Patel, A Deonarine, G Lyons, C Lakhani, A Manrai",,2020,1
28,"Clinical implications of removing race from estimates of kidney function. JA Diao, GJ Wu, HA Taylor, JK Tucker, NR Powe, IS Kohane, AK Manrai. JAMA 325 (2), 184-186",131,2021,0
