no,title,cited_by,year,aligned
30,"Long-term kidney function recovery and mortality after COVID-19-associated acute kidney injury: an international multi-centre observational cohort study. BWL Tan, BWQ Tan, ALM Tan, ER Schriver, A Gutiérrez-Sacristán, P Das, .... EClinicalMedicine 55",36,2023,1
64,"Nonresponse adjustment using clinical and perioperative patient characteristics is critical for understanding post-discharge opioid consumption. CJ Kennedy, JS Marwaha, PN Scalise, KA Robinson, B Booth, .... medRxiv, 2021.07. 02.21259901",2,2021,1
84,"MP83-12 EFFECTS OF A REDUCED OPIATE PRESCRIPTION PROTOCOL ON POST-DISCHARGE PILL CONSUMPTION. K Stensland*, P Chang, A Berkenwald, AW Malaret, K Robinson, G Brat, .... The Journal of Urology 203 (Supplement 4), e1260-e1260",,2020,0
81,"Opioid consumption after gender-affirming mastectomy and two other breast surgeries. KA Robinson, S Duncan, J Austrie, A Fleishman, A Tobias, RA Hopwood, .... Journal of Surgical Research 251, 33-37",16,2020,0
21,"Characterizing the use of the ICD-10 code for long COVID in 3 US healthcare systems. HG Zhang, JP Honerlaw, M Maripuri, MJ Samayamuthu, .... medRxiv, 2023.02. 12.23285701",2,2023,1
31,"Hospitalizations associated with mental health conditions among adolescents in the US and France during the COVID-19 pandemic. A Gutiérrez-Sacristán, A Serret-Larmande, MR Hutch, C Sáez, BJ Aronow, .... JAMA Network Open 5 (12), e2246548-e2246548",9,2022,1
79,"Incidence, prediction, and causes of unplanned 30-day hospital admission after ambulatory procedures. B Teja, D Raub, S Friedrich, P Rostin, MD Patrocínio, JC Schneider, .... Anesthesia & Analgesia 131 (2), 497-507",16,2020,1
36,"SurvMaximin: robust federated approach to transporting survival risk prediction models. X Wang, HG Zhang, X Xiong, C Hong, GM Weber, GA Brat, CL Bonzel, .... Journal of biomedical informatics 134, 104176",22,2022,1
50,"Surgical Residency Programs Should Leverage Recent Advances in National Policy, Real-World Data, and Public Opinion to Improve Post-Surgery Opioid Prescribing. JS Marwaha, CJ Kennedy, GA Brat. Journal of Graduate Medical Education 14 (1), 25-29",,2022,0
23,"Postoperative Opioid Prescribing via Rule-Based Guidelines Derived from In-Hospital Consumption: An Assessment of Efficacy Based on Post-Discharge Opioid Use. BR Beaulieu-Jones, MT Berrigan, JS Marwaha, KA Robinson, .... Journal of the American College of Surgeons, 10.1097",,2023,0
48,"Design, implementation, and clinical impact of a machine learning–assisted intervention bundle to improve opioid prescribing. JS Marwaha, BR Beaulieu-Jones, CJ Kennedy, LA Nathanson, .... NEJM Catalyst Innovations in Care Delivery 3 (4), CAT. 21.0477",5,2022,1
43,"Changes in laboratory value improvement and mortality rates over the course of the pandemic: an international retrospective cohort study of hospitalised patients infected with …. C Hong, HG Zhang, S L'Yi, G Weber, P Avillach, BWQ Tan, .... BMJ open 12 (6), e057725",6,2022,1
55,"A real-time spatiotemporal AI model analyzes skill in open surgical videos. ED Goodman, KK Patel, Y Zhang, W Locke, CJ Kennedy, R Mehrotra, .... arXiv preprint arXiv:2112.07219",12,2021,0
49,"Distinguishing admissions specifically for COVID-19 from incidental SARS-CoV-2 admissions: a national EHR research Consortium study. JG Klann, ZH Strasser, MR Hutch, CJ Kennedy, JS Marwaha, M Morris, ...",4,2022,1
99,"Intraoperative unfractionated heparin unresponsiveness during endovascular repair of a ruptured abdominal aortic aneurysm following administration of andexanet alfa for the …. IM Eche, P Elsamadisi, N Wex, MC Wyers, GA Brat, K Cunningham, .... Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy 39 (8 …",33,2019,0
92,"Volume 243, November 2019. DT Balzer, S Shahanavaz, TA Rockefeller, AM Abarbanell, SH McKellar, .... Journal of Surgical Research 243",,2019,0
44,"Distinguishing admissions specifically for COVID-19 from incidental SARS-CoV-2 admissions: national retrospective electronic health record study. JG Klann, ZH Strasser, MR Hutch, CJ Kennedy, JS Marwaha, M Morris, .... Journal of medical Internet research 24 (5), e37931",29,2022,1
65,"Reducing postoperative opioid pill prescribing via a quality improvement approach. KD Stensland, P Chang, D Jiang, D Canes, A Berkenwald, A Waisman, .... International Journal for Quality in Health Care 33 (3), mzab099",7,2021,0
53,"Informative Missingness: What can we learn from patterns in missing laboratory data in the electronic health record?(preprint). ALM Tan, E Getzen, M Hutch, Z Strasser, A Gutiérrez-Sacristán, T Le, ...",,2022,1
40,"Association of postsurgical opioid refills for patients with risk of opioid misuse and chronic opioid use among family members. D Agniel, GA Brat, JS Marwaha, K Fox, D Knecht, HL Paz, MC Bicket, .... JAMA Network Open 5 (7), e2221316-e2221316",3,2022,0
85,"Controlled substance prescribing and education in orthopedic residencies: A program director survey. BK Yorkgitis, MM Dugan, A Bell, GA Brat, M Crandall. The American Journal of Surgery 219 (4), 711-714",1,2020,0
24,"Reducing postoperative opioid pill prescribing via a quality improvement approach. K Stensland, P Chang, D Jiang, D Canes, A Berkenwald, A Waisman, .... INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE 35 (1), J10-J10",,2023,0
91,"Using computer vision to automate hand detection and tracking of surgeon movements in videos of open surgery. M Zhang, X Cheng, D Copeland, A Desai, MY Guan, GA Brat, S Yeung. AMIA Annual symposium proceedings 2020, 1373",24,2020,0
97,"Anorectal disease and post-discharge consumption of opioids. K Robinson, SG Duncan, E Messaris, G Brat. Journal of the American College of Surgeons 229 (4), S51-S52",2,2019,0
67,"International analysis of electronic health records of children and youth hospitalized with COVID-19 infection in 6 countries. FT Bourgeois, A Gutiérrez-Sacristán, MS Keller, M Liu, C Hong, .... JAMA network open 4 (6), e2112596-e2112596",29,2021,1
