no,title,cited_by,year,aligned
20,"Quantifying genetic effects on disease mediated by assayed gene expression levels. DW Yao, LJ O’connor, AL Price, A Gusev. Nature genetics 52 (6), 626-633",214,2020,1
17,"Significance testing for small annotations in stratified LD-Score regression. KC Tashman, R Cui, LJ O’Connor, BM Neale, HK Finucane. medRxiv, 2021.03. 13.21249938",13,2021,1
21,"Maximum likelihood embedding of logistic random dot product graphs. LJ O'Connor, M Medard, S Feizi. Proceedings of the AAAI Conference on Artificial Intelligence 34 (04), 5289-5297",3,2020,0
15,"Combining SNP-to-gene linking strategies to pinpoint disease genes and assess disease omnigenicity. S Gazal, O Weissbrod, F Hormozdiari, K Dey, J Nasser, K Jagadeesh, .... medRxiv, 2021.08. 02.21261488",4,2021,0
4,"Extremely sparse models of linkage disequilibrium in ancestrally diverse association studies. P Salehi Nowbandegani, AW Wohns, JL Ballard, ES Lander, .... Nature Genetics 55 (9), 1494-1502",12,2023,0
18,"Functionally informed fine-mapping and polygenic localization of complex trait heritability. O Weissbrod, F Hormozdiari, C Benner, R Cui, J Ulirsch, S Gazal, .... Nature genetics 52 (12), 1355-1363",200,2020,0
29,Genetic Architecture of Common Diseases and Complex Traits. LJ O'Connor. Harvard University,1,2019,0
23,"Target genes, variants, tissues and transcriptional pathways influencing human serum urate levels. A Tin, J Marten, VL Halperin Kuhns, Y Li, M Wuttke, H Kirsten, KB Sieber, .... Nature genetics 51 (10), 1459-1474",277,2019,1
16,"The distribution of common-variant effect sizes. LJ O’Connor. Nature genetics 53 (8), 1243-1249",48,2021,1
11,"Combining SNP-to-gene linking strategies to identify disease genes and assess disease omnigenicity. S Gazal, O Weissbrod, F Hormozdiari, KK Dey, J Nasser, KA Jagadeesh, .... Nature genetics 54 (6), 827-836",71,2022,0
23,"Target genes, variants, tissues and transcriptional pathways influencing human serum urate levels. A Tin, J Marten, VL Halperin Kuhns, Y Li, M Wuttke, H Kirsten, KB Sieber, .... Nature genetics 51 (10), 1459-1474",277,2019,1
5,"Polygenic architecture of rare coding variation across 394,783 exomes. DJ Weiner, A Nadig, KA Jagadeesh, KK Dey, BM Neale, EB Robinson, .... Nature 614 (7948), 492-499",54,2023,0
17,"Significance testing for small annotations in stratified LD-Score regression. KC Tashman, R Cui, LJ O’Connor, BM Neale, HK Finucane. medRxiv, 2021.03. 13.21249938",13,2021,1
29,Genetic Architecture of Common Diseases and Complex Traits. LJ O'Connor. Harvard University,1,2019,0
26,"Genes with high network connectivity are enriched for disease heritability. SS Kim, C Dai, F Hormozdiari, B van de Geijn, S Gazal, Y Park, .... The American Journal of Human Genetics 104 (5), 896-913",53,2019,1
18,"Functionally informed fine-mapping and polygenic localization of complex trait heritability. O Weissbrod, F Hormozdiari, C Benner, R Cui, J Ulirsch, S Gazal, .... Nature genetics 52 (12), 1355-1363",200,2020,0
11,"Combining SNP-to-gene linking strategies to identify disease genes and assess disease omnigenicity. S Gazal, O Weissbrod, F Hormozdiari, KK Dey, J Nasser, KA Jagadeesh, .... Nature genetics 54 (6), 827-836",71,2022,0
12,"Statistical and functional convergence of common and rare variant risk for autism spectrum disorders at chromosome 16p. DJ Weiner, E Ling, S Erdin, DJC Tai, R Yadav, J Grove, JM Fu, A Nadig, .... medRxiv, 2022.03. 23.22272826",2,2022,0
12,"Statistical and functional convergence of common and rare variant risk for autism spectrum disorders at chromosome 16p. DJ Weiner, E Ling, S Erdin, DJC Tai, R Yadav, J Grove, JM Fu, A Nadig, .... medRxiv, 2022.03. 23.22272826",2,2022,0
25,"Extreme polygenicity of complex traits is explained by negative selection. LJ O'Connor, AP Schoech, F Hormozdiari, S Gazal, N Patterson, AL Price. The American Journal of Human Genetics 105 (3), 456-476",198,2019,0
1,"High-dimensional phenotyping to define the genetic basis of cellular morphology. M Tegtmeyer, J Arora, S Asgari, BA Cimini, A Nadig, E Peirent, .... Nature Communications 15 (1), 347",4,2024,1
29,Genetic Architecture of Common Diseases and Complex Traits. LJ O'Connor. Harvard University,1,2019,0
21,"Maximum likelihood embedding of logistic random dot product graphs. LJ O'Connor, M Medard, S Feizi. Proceedings of the AAAI Conference on Artificial Intelligence 34 (04), 5289-5297",3,2020,0
15,"Combining SNP-to-gene linking strategies to pinpoint disease genes and assess disease omnigenicity. S Gazal, O Weissbrod, F Hormozdiari, K Dey, J Nasser, K Jagadeesh, .... medRxiv, 2021.08. 02.21261488",4,2021,0
17,"Significance testing for small annotations in stratified LD-Score regression. KC Tashman, R Cui, LJ O’Connor, BM Neale, HK Finucane. medRxiv, 2021.03. 13.21249938",13,2021,1
20,"Quantifying genetic effects on disease mediated by assayed gene expression levels. DW Yao, LJ O’connor, AL Price, A Gusev. Nature genetics 52 (6), 626-633",214,2020,1
8,"38. COMMON AND RARE GENETIC RISK FACTORS FOR SCHIZOPHRENIA AT CHROMOSOME 22Q INDUCE CONVERGENT, DISPERSED CHANGES IN GENE EXPRESSION. A Nadig, M Tegtmeyer, DJ Weiner, E Ling, A Gordon, LJ O'Connor, .... European Neuropsychopharmacology 63, e66",,2022,0
29,Genetic Architecture of Common Diseases and Complex Traits. LJ O'Connor. Harvard University,1,2019,0
29,Genetic Architecture of Common Diseases and Complex Traits. LJ O'Connor. Harvard University,1,2019,0
18,"Functionally informed fine-mapping and polygenic localization of complex trait heritability. O Weissbrod, F Hormozdiari, C Benner, R Cui, J Ulirsch, S Gazal, .... Nature genetics 52 (12), 1355-1363",200,2020,0
