no,title,cited_by,year,aligned
30,"The urgent need for research coordination to advance knowledge on COVID-19 in children. FT Bourgeois, P Avillach, MA Turner. Pediatric Research 90 (2), 250-252",7,2021,0
64,"Validation of a Derived International Patient Severity Phenotype to Support COVID-19 Analytics from Electronic Health Record Data. JG Klann, GM Weber, H Estiri, B Moal, P Avillach, C Hong, VM Castro, ...",,2020,1
21,"SurvMaximin: Robust Federated Approach to Transporting Survival Risk Prediction Models (preprint). X Wang, HG Zhang, X Xiong, C Hong, GM Weber, GA Brat, CL Bonzel, ...",,2022,1
31,"Validation of an internationally derived patient severity phenotype to support COVID-19 analytics from electronic health record data. JG Klann, H Estiri, GM Weber, B Moal, P Avillach, C Hong, ALM Tan, .... Journal of the American Medical Informatics Association 28 (7), 1411-1420",31,2021,1
36,"What every reader should know about studies using electronic health record data but may be afraid to ask. IS Kohane, BJ Aronow, P Avillach, BK Beaulieu-Jones, R Bellazzi, .... Journal of medical Internet research 23 (3), e22219",87,2021,0
50,"O5 Large-scale trends in contraceptive attitudes over time as expressed on Twitter. A Merz, A Gutiérrez-Sacristán, D Bartz, N Williams, A Ojo, K Schaefer, .... Contraception 102 (4), 274",,2020,0
23,"Authorship correction: international changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: retrospective cohort study. GM Weber, HG Zhang, S L'Yi, CL Bonzel, C Hong, P Avillach, .... Journal of Medical Internet Research 23 (11), e34625",1,2021,0
48,"Vascular and metabolic risk factor differences prior to dementia diagnosis: a multidatabase case–control study using European electronic health records. G Perera, PR Rijnbeek, M Alexander, D Ansell, P Avillach, .... BMJ open 10 (11), e038753",12,2020,1
43,"International changes in COVID-19 clinical trajectories across 315 hospitals and 6 countries: a 4CE Consortium study. GM Weber, HG Zhang, S L’Yi. JMIR Preprints",2,2021,0
55,"International electronic health record-derived COVID-19 clinical course profiles: the 4CE consortium. GA Brat, GM Weber, N Gehlenborg, P Avillach, NP Palmer, L Chiovato, .... NPJ digital medicine 3 (1), 109",176,2020,0
49,"Validation of a derived international patient severity algorithm to support COVID-19 analytics from electronic health record data. JG Klann, GM Weber, H Estiri, B Moal, P Avillach, C Hong, V Castro, .... medRxiv, 2020.10. 13.20201855",12,2020,1
79,"Large expert-curated database for benchmarking document similarity detection in biomedical literature search. Z Zeineb, P Brown, AC Tan, MA El-Esawi, T Liehr, O Blanck, DP Gladue, ...",,2019,0
75,"An exploratory phenome wide association study linking asthma and liver disease genetic variants to electronic health records from the Estonian Biobank. G James, S Reisberg, K Lepik, N Galwey, P Avillach, L Kolberg, R Mägi, .... PLoS One 14 (4), e0215026",10,2019,1
44,"National Trends in Disease Activity for COVID-19 Among Children in the US. MR Hutch, M Liu, P Avillach, Y Luo, FT Bourgeois. Frontiers in Pediatrics, 646",2,2021,0
65,"FAIRshake: toolkit to evaluate the FAIRness of research digital resources. DJB Clarke, L Wang, A Jones, ML Wojciechowicz, D Torre, KM Jagodnik, .... Cell systems 9 (5), 417-421",46,2019,0
53,"A multidimensional precision medicine approach identifies an autism subtype characterized by dyslipidemia. Y Luo, A Eran, N Palmer, P Avillach, A Levy-Moonshine, P Szolovits, .... Nature medicine 26 (9), 1375-1379",65,2020,1
47,"Association of Affordable Care Act Implementation With Ambulance Utilization for Asthma Emergencies in New York City, 2008-2018. GA Peters, AJ Ordoobadi, RE Cash, ML Wong, P Avillach, CA Camargo. JAMA Network Open 3 (11), e2025586-e2025586",4,2020,0
70,"Leveraging heterogeneity of European healthcare data sources to estimate validity of case-finding algorithms in multi-database studies where a true gold standard is lacking …. G Roberto, M Garcia-Gil, T Duarte-Salles, P Avillach, E Smits, S Reisberg, .... PHARMACOEPIDEMIOLOGY AND DRUG SAFETY 28, 109-109",,2019,0
20,"Multi-PheWAS intersection approach to identify sex differences across comorbidities in 59 140 pediatric patients with autism spectrum disorder. A Gutiérrez-Sacristán, C Sáez, C De Niz, N Jalali, TN DeSain, R Kumar, .... Journal of the American Medical Informatics Association 29 (2), 230-238",6,2022,0
40,"Multinational Prevalence of Neurological Phenotypes in Patients Hospitalized with COVID-19 (preprint). TT Le, A Gutiérrez-Sacristán, J Son, C Hong, AM South, ...",,2021,1
29,"Finding commonalities in rare diseases through the undiagnosed diseases network. J Yates, A Gutiérrez-Sacristán, V Jouhet, K LeBlanc, C Esteves, .... Journal of the American Medical Informatics Association 28 (8), 1694-1702",2,2021,0
68,"Non-alcoholic fatty liver disease and risk of incident acute myocardial infarction and stroke: findings from matched cohort study of 18 million European adults. M Alexander, AK Loomis, J van der Lei, T Duarte-Salles, .... bmj 367",211,2019,0
54,"Scalability and cost-effectiveness analysis of whole genome-wide association studies on Google Cloud Platform and Amazon Web Services. I Krissaane, C De Niz, A Gutiérrez-Sacristán, G Korodi, N Ede, R Kumar, .... Journal of the American Medical Informatics Association 27 (9), 1425-1430",20,2020,0
24,"Long-Term Survival and Late Death after Hematopoietic Cell Transplant for Patients with Sickle Cell Disease Surviving for at Least Two-Years after Transplantation. AS Martin, K Hebert, A Serret-Larmande, V Jouhet, E Hughes, .... Blood 138, 410",,2021,0
16,"Long-term survival after hematopoietic cell transplant for sickle cell disease compared to the United States population. AS Martin, KM Hebert, A Serret-Larmande, V Jouhet, E Hughes, .... Transplantation and cellular therapy 28 (6), 325. e1-325. e7",11,2022,0
74,"Use of natural language processing in electronic medical records to identify pregnant women with suicidal behavior: towards a solution to the complex classification problem.. ZQY Zhong QiuYue, LP Mittal, MD Nathan, KM Brown, DK González, ...",,2019,0
61,"dbgap2x: an R package to explore and extract data from the database of Genotypes and Phenotypes (dbGaP). G Versmée, L Versmée, M Dusenne, N Jalali, P Avillach. Bioinformatics 36 (4), 1305-1306",3,2020,0
62,"Correction: The Genomics Research and Innovation Network: creating an interoperable, federated, genomics learning system. KD Mandl, T Glauser, ID Krantz, P Avillach, A Bartels, AH Beggs, .... Genetics in Medicine 22 (2), 449-449",1,2020,0
3,"Characterization of long COVID temporal sub-phenotypes by distributed representation learning from electronic health record data: a cohort study. A Dagliati, ZH Strasser, ZSH Abad, JG Klann, KB Wagholikar, R Mesa, .... Eclinicalmedicine 64",1,2023,1
10,"Validation of a computational phenotype for finding patients eligible for genetic testing for pathogenic PTEN variants across three centers. C Kothari, S Srivastava, Y Kousa, R Izem, M Gierdalski, D Kim, A Good, .... Journal of neurodevelopmental disorders 14 (1), 24",2,2022,1
