no,title,cited_by,year,aligned
30,"The discovery of genome-wide mutational dependence in naturally evolving populations. AG Green, R Vargas Jr, MG Marin, L Freschi, J Xie, MR Farhat. bioRxiv, 2022.06. 24.497504",1,2022,
64,"Induction of SARS-CoV-2 protein S-specific CD8+ T cells in the lungs of gp96-Ig-S vaccinated mice (preprint). E Fisher, L Padula, K Podack, MM Seavey, P Jayaraman, R Jasuja, ...",,2020,
21,"Single nucleotide variation catalogue from clinical isolates mapped on tertiary and quaternary structures of ESX-1 related proteins reveals critical regions as putative Mtb …. O Tzfadia, A Siroy, A Vujkovic, J Snobre, R Vargas Jr, A Gijsbers, .... bioRxiv, 2023.06. 22.507254",,2023,
31,"Management of childhood MDR-TB in Europe and Central Asia: report of a Regional WHO meeting. MI Gröschel, M Van den Boom, A Dixit, A Skrahina, PJ Dodd, GB Migliori, .... The International Journal of Tuberculosis and Lung Disease 26 (5), 433-440",,2022,
36,"Modern lineages of Mycobacterium tuberculosis were recently introduced in western India and demonstrate increased transmissibility. A Dixit, A Kagal, Y Ektefaie, L Freschi, R Karyakarte, R Lokhande, .... medRxiv, 2022.01. 04.22268645",,2022,
50,"A legacy of disease. MI Gröschel, MR Farhat. The Lancet Infectious Diseases 21 (5), 614",,2021,
23,"COVID-19 and global childhood tuberculosis notifications. S Atre, A Chatterjee, M Farhat. The Lancet Global Health 10 (12), e1691-e1692",1,2022,
48,"Measuring health-care delays among privately insured patients with tuberculosis in the USA: an observational cohort study. J El Halabi, N Palmer, M McDuffie, JJ Golub, K Fox, I Kohane, MR Farhat. The Lancet Infectious Diseases 21 (8), 1175-1183",12,2021,
43,"S173 Fecal Microbiota Transplantation and Clostridioides difficile Infection Among Privately Insured Patients in the United States. J El Halabi, NP Palmer, K Fox, I Kohane, MR Farhat. Official journal of the American College of Gastroenterology| ACG 116, S76-S77",,2021,
55,"Surgical Resection Compared to Medical Management in localized Mycobacteria Avium Complex Pulmonary Infections-A Case Control Study. G Fregoso, R Dhiman, M Lanuti, J Wain, R Hurtado, CJ Richards, ...",,2020,
49,"Fevers, Feuds, and Diamonds: Ebola and the Ravages of History. MI Groschel, MR Farhat. LANCET INFECTIOUS DISEASES 21 (5), 614-614",,2021,
81,"Genome-wide discovery of epistatic loci affecting antibiotic resistance in Neisseria gonorrhoeae using evolutionary couplings. B Schubert, R Maddamsetti, J Nyman, MR Farhat, DS Marks. Nature Microbiology 4 (2), 328-338",44,2019,
77,"Rifampicin and rifabutin resistance in 1003 Mycobacterium tuberculosis clinical isolates. MR Farhat, J Sixsmith, R Calderon, ND Hicks, SM Fortune, M Murray. Journal of Antimicrobial Chemotherapy 74 (6), 1477-1483",37,2019,
44,"Association between NEDD4L variation and the genetic risk of acute appendicitis: a multi-institutional genome-wide association study. A Gaitanidis, HMA Kaafarani, MA Christensen, K Breen, A Mendoza, .... JAMA surgery 156 (10), 917-923",8,2021,
