no,title,cited_by,year,aligned
30,"Sleep inertia, not chronotype, is a marker of circadian misalignment and a risk factor for psychiatric disorders: genetic and epidemiological evidence. A Burns, N Sinnott-Armstrong, I Daghlas, D Windred, A Phillips, S Cain, .... Sleep Medicine 115, S64",1,2024,
64,"0026 Novel home-based circadian phase assessment tool to enhance accessible quality care of circadian rhythm disorders-Circadia Study. J Love, J Lane, R Saxena, F Scheer, G Bormes. Sleep 46 (Supplement_1), A11-A12",,2023,
81,"Targeted genome sequencing identifies multiple rare variants in caveolin-1 associated with obstructive sleep apnea. J Liang, H Wang, BE Cade, N Kurniansyah, KY He, J Lee, SA Sands, .... American journal of respiratory and critical care medicine 206 (10), 1271-1280",8,2022,
149,"Risk of preeclampsia in patients with genetic predisposition to common medical conditions: a case-control study. KJ Gray, VP Kovacheva, H Mirzakhani, AC Bjonnes, B Almoguera, .... bioRxiv, 2020.03. 04.976472",,2020,
159,"Sequencing analysis at 8p23 identifies multiple rare variants in DLC1 associated with sleep-related oxyhemoglobin saturation level. J Liang, BE Cade, KY He, H Wang, J Lee, T Sofer, S Williams, R Li, .... The American Journal of Human Genetics 105 (5), 1057-1068",15,2019,
79,"Updated variant curation expert panel criteria and pathogenicity classifications for 251 variants for RYR1-related malignant hyperthermia susceptibility. JJ Johnston, RT Dirksen, T Girard, PM Hopkins, N Kraeva, M Ognoon, .... Human Molecular Genetics 31 (23), 4087-4093",26,2022,
164,"Multi-trait genome-wide association meta-analysis of dietary intake identifies new loci and functional links with metabolic traits. J Merino, HS Dashti, C Sarnowski, JM Lane, R Saxena, JC Florez. DIABETOLOGIA 62, S109-S110",,2019,
50,"Light at night and modeled circadian disruption predict higher risk of mortality: A prospective study in> 88,000 participants. DP Windred, AC Burns, JM Lane, P Olivier, MK Rutter, R Saxena, .... medRxiv, 2023.09. 08.23295231",1,2023,
93,"A transformer model for predicting cognitive impairment from sleep. TA Song, M Malekzadeh, R Saxena, SM Purcell, J Dutta. bioRxiv, 2022.07. 17.500351",1,2022,
23,"Genomic and proteomic evidence for hormonal and metabolic foundations of polycystic ovary syndrome. LME Moolhuijsen, J Zhu, BH Mullin, N Pujol-Gualdo, KEV Actkins, .... medRxiv, 2024.04. 18.24306020",2,2024,
