no,title,cited_by,year,aligned
30,"A contemporary analysis of medicolegal issues in obstetric anesthesia between 2005 and 2015. VP Kovacheva, EY Brovman, P Greenberg, E Song, A Palanisamy, .... Anesthesia & Analgesia 128 (6), 1199-1207",32,2019,
20,"Performance characteristics of sepsis screening tools during delivery admissions. EK Main, M Fuller, VP Kovacheva, R Elkhateb, K Azar, M Caldwell, .... Obstetrics & Gynecology, 10.1097",2,2022,
17,"Obstetric Anesthesia. V Kovacheva, J Schreiner, MA Albrecht. Anesthesia Student Survival Guide: A Case-Based Approach, 427-453",,2022,
21,"The Quest for Equitable Health Care: The Potential for Artificial Intelligence. MS Khan, D Bates, VP Kovacheva. NEJM Catalyst Innovations in Care Delivery 2 (6)",1,2021,
15,"A survey of pregnant patients’ perspectives on the implementation of artificial intelligence in clinical care. W Armero, KJ Gray, KG Fields, NM Cole, DW Bates, VP Kovacheva. Journal of the American Medical Informatics Association 30 (1), 46-53",10,2023,
4,"Zero-shot interpretable phenotyping of postpartum hemorrhage using large language models. E Alsentzer, MJ Rasmussen, R Fontoura, AL Cull, B Beaulieu-Jones, .... NPJ Digital Medicine 6 (1), 212",8,2023,
18,"Less stress, better success: a scoping review on the effects of anxiety on anesthetic and analgesic consumption. YYK Chen, MA Soens, VP Kovacheva. Journal of Anesthesia 36 (4), 532-553",20,2022,
23,"Anesthesia Innovation with AI: The Power Is Ours. VP Kovacheva, RY Cohen, L Scoon, DW Bates. ASA Monitor 85 (6), 34-35",,2021,
16,"Development and implementation of databases to track patient and safety outcomes. CDM Mukasa, VP Kovacheva. Current Opinion in Anesthesiology 35 (6), 710-716",1,2022,
11,"A methodology for a scalable, collaborative, and resource-efficient platform, MERLIN, to facilitate healthcare AI research. RY Cohen, VP Kovacheva. IEEE journal of biomedical and health informatics",4,2023,
5,"Investigation of the Optimum Baseline Blood Pressure for Spinal Anesthesia to Guide Vasopressor Management for Elective Cesarean Delivery: A Case-Control Design. VP Kovacheva, W Armero, G Zhou, D Bishop, R Dyer, B Carvalho. Cureus 15 (9)",,2023,
29,"Novel Artificial-intelligence-powered Algorithm To Personalize Hemodynamic Management In Patients Presenting For Cesarean Delivery Under Spinal Anesthesia. A2006. V Kovacheva, RY Cohen, W Armero, YK Chen, K Andriole. Anesthesiology Annual Meeting",1,2020,
25,"Development of a Novel and Racially Unbiased Deep Learning Algorithm to Predict Preterm Birth in Hypertensive Parturients: A Pragmatic Approach to De-biasing. R Cohen, S Ye, K Gray, V Kovacheva. ANESTHESIA AND ANALGESIA 132, 47-48",,2021,
22,"A Methodology For A Scalable, Collaborative, And Resource-Efficient Platform To Facilitate Healthcare AI Research. RY Cohen, VP Kovacheva. arXiv preprint arXiv:2112.06883",1,2021,
12,"Prediction of preeclampsia from clinical and genetic risk factors in early and late pregnancy using machine learning and polygenic risk scores. VP Kovacheva, BW Eberhard, RY Cohen, M Maher, R Saxena, KJ Gray. MedRxiv, 2023.02. 03.23285385",1,2023,
31,"Efficacy of phenylephrine in preventing hemodynamic responses of oxytocin during elective cesarean section: A randomized, double-blind, controlled trial. M Mohta, V Kumar, R Agarwal, GT Chilkoti, S Duggal. Annals of the National Academy of Medical Sciences (India) 55 (01), 048-053",2,2019,
9,"Pain severity and pain interference in late pregnancy: an analysis of biopsychosocial factors among women scheduled for cesarean delivery. JM Wilson, J He, KM Flowers, V Kovacheva, M Soens, KL Schreiber. Pain Medicine 24 (6), 652-660",3,2023,
1,"Opportunities of AI-powered applications in anesthesiology to enhance patient safety. VP Kovacheva, B Nagle. International Anesthesiology Clinics, 10.1097",,2024,
13,"Hemodynamic changes in patients with SARS-CoV-2 infection presenting for cesarean delivery under spinal anesthesia: a retrospective case-control study. LEG Scoon, KJ Gray, G Zhou, RY Cohen, W Armero, YK Chen, AM Ray, .... International Journal of Obstetric Anesthesia 53, 103624",,2023,
28,"A Contemporary Analysis of Medicolegal Issues in Obstetric Anesthesia Between 2005 and 2015. VP Kovacheva, EY Brovman, P Greenberg, E Song, A Palanisamy, .... Obstetric Anesthesia Digest 40 (1), 2",1,2020,
14,"Control of a therapeutic delivery system. VP Kovacheva, R Cohen. US Patent App. 17/784,631",,2023,
26,"Risk of pre?eclampsia in patients with a maternal genetic predisposition to common medical conditions: a case–control study. KJ Gray, VP Kovacheva, H Mirzakhani, AC Bjonnes, B Almoguera, .... BJOG: An International Journal of Obstetrics & Gynaecology 128 (1), 55-65",24,2021,
8,"On the Horizon: Specific Applications of Automation and Artificial Intelligence in Anesthesiology. SC Davoud, VP Kovacheva. Current anesthesiology reports 13 (2), 31-40",3,2023,
24,"Genome-wide Association Study of patients with Post-partum Hemorrhage. S Singh, ME Bauer, TT Klumpner, A Pandit, V Kovacheva. ANESTHESIA AND ANALGESIA 132 (5 S_ SUPPL), 615-615",,2021,
27,"Risk of preeclampsia in patients with genetic predisposition to common medical conditions: a case-control study. KJ Gray, VP Kovacheva, H Mirzakhani, AC Bjonnes, B Almoguera, .... bioRxiv, 2020.03. 04.976472",,2020,
2,"Preeclampsia Prediction Using Machine Learning and Polygenic Risk Scores From Clinical and Genetic Risk Factors in Early and Late Pregnancies. VP Kovacheva, BW Eberhard, RY Cohen, M Maher, R Saxena, KJ Gray. Hypertension 81 (2), 264-272",,2024,
10,"Perspectives on AI in Anaesthesiology. V Kovacheva. AI in Clinical Medicine: A Practical Guide for Healthcare Professionals, 228-232",,2023,
3,"Deep Survival Analysis for Interpretable Time-Varying Prediction of Preeclampsia Risk. BW Eberhard, KJ Gray, DW Bates, VP Kovacheva. medRxiv, 2024.01. 18.24301456",,2024,
6,"Perspectives on Maternal Safety in 2023. P Toledo, VP Kovacheva. ASA Monitor 87 (9), 37-37",,2023,
19,"Performance characteristics of sepsis screening tools during antepartum and postpartum admissions. ME Bauer, M Fuller, V Kovacheva, R Elkhateb, K Azar, M Caldwell, .... Obstetrics & Gynecology, 10.1097",1,2022,
