no,title,cited_by,year,aligned
30,"MyGeneset. info: an interactive and programmatic platform for community-curated and user-created collections of genes. R Avila, V Rubinetti, X Zhou, D Hu, Z Qian, MA Cano, E Rodolpho, .... Nucleic Acids Research 51 (W1), W350-W356",2,2023,
64,"Correction for Rando et al.,“Pathogenesis, Symptomatology, and Transmission of SARS-CoV-2 through Analysis of Viral Genomics and Structure”. HM Rando, AL MacLean, AJ Lee, R Lordan, S Ray, V Bansal, AN Skelly, .... Msystems 7 (1), e01447-21",,2022,
81,"Reproducibility standards for machine learning in the life sciences. BJ Heil, MM Hoffman, F Markowetz, SI Lee, CS Greene, SC Hicks. Nature Methods 18 (10), 1132-1135",192,2021,
79,"Pathogenesis, symptomatology, and transmission of SARS-CoV-2 through analysis of viral genomics and structure. HM Rando, AL MacLean, AJ Lee, R Lordan, S Ray, V Bansal, AN Skelly, .... MSystems 6 (5), 10.1128/msystems. 00095-21",38,2021,
50,"wenda_gpu: fast domain adaptation for genomic data. AA Hippen, J Crawford, JR Gardner, CS Greene. Bioinformatics 38 (22), 5129-5130",,2022,
93,"SARS-CoV-2 and COVID-19: An evolving review of diagnostics and therapeutics. HM Rando, CS Greene, MP Robson, SM Boca, N Wellhausen, R Lordan, .... Manubot",12,2021,
23,"A Pathway-Level Information ExtractoR (PLIER) framework to gain mechanistic insights into obesity in Down syndrome. S Nandi, Y Zhu, LA Gillenwater, M Subirana-Granés, H Zhang, N Janani, .... Biocomputing 2025: Proceedings of the Pacific Symposium, 412-425",2,2024,
48,"Hetnet connectivity search provides rapid insights into how biomedical entities are related. DS Himmelstein, M Zietz, V Rubinetti, K Kloster, BJ Heil, F Alquaddoomi, .... GigaScience 12, giad047",6,2023,
43,"Compendium-wide analysis of Pseudomonas aeruginosa core and accessory genes reveals transcriptional patterns across strains PAO1 and PA14. AJ Lee, G Doing, SL Neff, T Reiter, DA Hogan, CS Greene. MSystems 8 (1), e00342-22",10,2023,
101,"Compressing gene expression data using multiple latent space dimensionalities learns complementary biological representations. GP Way, M Zietz, V Rubinetti, DS Himmelstein, CS Greene. Genome biology 21, 1-27",77,2020,
95,"Expanding and remixing the metadata landscape. AA Hippen, CS Greene. Trends in cancer 7 (4), 276-278",9,2021,
122,"Graph biased feature selection of genes is better than random for many genes. J Crawford, CS Greene. Biorxiv, 2020.01. 17.910703",3,2020,
143,"TECHNOLOGIES TO WATCH IN 2019. S Teichmann, JS Kim, X Zhuang, H Zeng, J Boeke, V Ramakrishnan, .... Nature 565 (7740), 521-523",4,2019,
107,"Responsible, practical genomic data sharing that accelerates research. JB Byrd, AC Greene, DV Prasad, X Jiang, CS Greene. Nature Reviews Genetics 21 (10), 615-629",139,2020,
